attrition,age,income,overtime
0,44,6467,1
0,41,6201,0
1,25,4017,1
0,28,6360,1
1,58,2369,0
1,30,4317,0
0,47,6715,1
0,44,6839,0
0,47,6395,1
0,55,6998,0
1,32,4237,1
0,28,5236,0
0,41,5578,0
0,37,5582,0
1,41,5710,0
0,32,3453,1
1,28,2915,1
1,29,3056,0
0,50,6993,1
1,35,5632,1
0,57,6202,0
1,47,4027,1
0,28,6043,0
0,27,5356,1
0,47,6529,0
1,36,5244,1
1,49,4729,0
1,39,3863,0
1,45,5153,1
1,49,5438,1
1,27,3575,0
1,30,4180,0
0,40,5257,1
1,52,3656,1
0,48,6897,0
1,59,5134,1
1,47,5222,1
1,54,3558,1
0,56,5900,1
0,40,6334,0
1,36,2530,1
0,28,6134,0
1,46,2218,0
0,59,5128,0
1,55,5445,1
1,49,4597,0
1,41,5789,1
1,36,5169,0
0,41,5514,0
0,31,3590,1
0,36,6192,1
1,50,5514,1
1,49,2479,1
1,25,3486,1
0,53,5358,1
0,54,6412,0
0,26,6719,1
0,42,5343,0
1,43,3235,1
1,50,2485,0
0,50,6391,0
0,31,4202,0
0,43,5663,0
1,58,4007,0
1,29,2096,0
0,27,6185,0
1,46,3299,0
1,39,2936,0
0,32,5133,0
1,56,4026,1
1,56,4415,0
0,30,6504,1
1,36,4220,1
1,26,5931,0
0,53,6317,1
1,33,2841,0
0,49,4849,1
1,40,3569,0
1,29,5526,0
0,56,5131,0
1,50,4375,0
0,26,5585,0
1,29,2523,1
1,43,4797,0
0,29,6660,1
0,30,6004,0
1,44,4203,1
0,25,5395,0
0,58,6536,0
0,50,4872,1
1,30,4976,1
1,31,3496,1
1,25,3262,1
1,54,2908,0
1,46,4132,0
1,39,5050,1
0,57,5168,1
0,38,5082,0
0,38,4061,1
1,26,2246,1
1,32,5904,0
0,54,4880,0
1,42,2075,0
1,29,2793,1
1,37,2007,0
0,37,6515,0
1,35,2401,1
1,47,3515,1
1,41,5243,1
1,26,2193,1
1,56,2233,0
1,48,5260,0
1,35,3420,0
1,51,3561,1
1,54,2500,0
1,59,4761,0
1,31,4130,0
0,48,4287,1
0,51,6217,1
0,35,5598,0
0,43,6734,0
1,49,3145,1
1,44,2404,0
0,49,5370,1
1,51,3003,1
1,35,2871,0
1,45,4269,0
0,26,4564,0
1,48,4717,0
1,27,2477,1
