heating_load,wall,roof,glazing,height
84.7,23.6,170.2,39.1,6.2
98.4,27.9,159.3,40.6,6.0
69.0,22.6,100.0,20.7,8.3
74.5,21.5,116.8,29.8,7.1
85.5,36.3,160.3,11.5,5.1
88.1,31.5,177.4,39.3,6.4
82.4,14.1,119.5,45.2,6.9
82.2,32.6,156.4,43.9,13.8
109.7,21.2,199.7,49.0,9.7
72.7,22.7,105.8,38.2,11.2
66.9,31.7,58.4,26.5,13.3
85.9,28.2,168.1,33.7,6.6
54.5,18.7,77.5,17.3,10.9
80.0,21.9,120.2,21.4,14.0
65.9,10.1,67.2,33.1,8.5
86.8,34.4,190.2,24.5,6.7
86.2,36.2,195.6,38.2,11.2
58.6,11.3,89.4,11.6,9.2
80.8,19.4,115.1,18.5,3.2
91.8,14.3,198.2,38.0,12.2
90.7,26.8,117.6,28.5,4.4
81.8,32.0,186.4,31.7,13.7
50.7,16.6,71.8,38.0,6.4
81.3,38.2,135.6,43.4,6.8
95.0,17.1,164.1,35.2,8.7
85.1,17.7,149.3,49.5,8.9
82.0,21.1,180.1,41.6,14.7
81.8,21.0,169.8,45.9,7.4
72.4,39.6,142.5,25.3,9.6
81.7,39.4,187.4,35.2,6.3
83.3,16.2,154.0,47.9,11.9
69.9,13.4,101.4,12.2,5.8
64.1,38.2,102.2,43.6,14.3
67.6,37.3,89.4,35.8,4.5
72.5,12.7,139.3,30.6,8.2
80.3,37.1,157.4,27.4,8.7
85.8,35.0,174.3,33.4,11.9
87.6,16.3,151.1,19.7,6.0
90.8,31.9,162.3,45.1,13.7
68.2,24.7,91.9,40.4,8.5
96.3,36.0,197.7,44.6,7.5
76.1,16.4,132.1,23.5,5.9
95.7,33.6,165.0,28.8,8.7
88.1,38.0,154.2,48.6,5.8
82.7,31.2,170.1,20.1,9.3
74.0,11.6,90.3,19.5,8.8
67.9,23.3,78.5,39.5,8.5
79.1,30.0,142.7,22.9,10.1
61.2,12.5,92.9,34.1,12.0
94.8,33.8,178.6,28.6,7.7
74.3,13.2,111.0,15.9,14.0
51.6,26.7,62.8,12.2,6.5
71.0,16.6,139.9,20.8,11.0
80.8,26.1,136.7,44.6,14.1
49.5,23.5,53.5,25.4,7.5
72.9,35.5,155.2,16.9,11.9
81.2,32.5,125.7,22.6,3.8
73.4,16.4,134.1,32.7,5.5
68.2,37.6,107.1,21.6,3.0
78.9,23.8,157.8,36.4,14.2
59.5,33.1,56.3,18.8,12.5
72.3,33.6,91.0,23.4,15.0
85.1,15.9,156.7,29.1,11.1
58.4,22.6,63.6,44.8,13.1
93.1,11.9,165.5,47.3,8.5
100.3,38.7,191.7,40.3,12.2
97.0,12.6,179.8,26.0,4.3
49.4,29.0,64.9,42.9,11.7
74.1,13.2,70.3,42.8,4.3
68.7,30.3,105.1,48.7,10.7
67.5,29.5,136.4,36.0,10.4
85.8,36.3,166.6,26.2,7.7
78.7,24.0,117.1,36.4,6.8
72.4,18.5,111.9,35.6,14.3
76.8,13.1,84.8,41.7,6.9
80.3,17.5,118.9,30.1,8.0
86.8,12.1,174.8,22.4,13.9
68.5,31.5,91.6,41.4,4.1
81.5,29.0,129.7,44.3,6.4
