학교명,설립구분,1학년전입학생수,1학년전출학생수,1학년전체학생수,2학년전입학생수,2학년전출학생수,2학년전체학생수,3학년전입학생수,3학년전출학생수,3학년전체학생수,4학년전입학생수,4학년전출학생수,4학년전체학생수,5학년전입학생수,5학년전출학생수,5학년전체학생수,6학년전입학생수,6학년전출학생수,6학년전체학생수,전입학생수합계,전출학생수합계,전체학생수합계
부산교육대학교부설초등학교,국립,0,0,96,1,1,96,0,0,96,1,0,112,1,0,112,0,0,112,3,1,624
광일초등학교,공립,4,3,36,1,3,52,2,6,68,1,6,67,0,5,78,0,5,61,8,28,362
남성초등학교,사립,2,0,102,0,0,87,2,0,78,0,0,50,1,0,65,0,0,38,5,0,420
대남초등학교,공립,1,1,50,2,4,45,1,4,64,3,6,65,2,4,70,2,0,68,11,19,362
대연초등학교,공립,6,5,155,6,8,165,7,10,180,6,10,180,8,5,197,4,9,190,37,47,1067
대천초등학교,공립,8,4,92,3,4,104,9,2,125,0,6,126,5,3,129,12,2,125,37,21,701
동일중앙초등학교,공립,9,2,134,14,9,178,16,6,147,16,11,155,9,7,147,8,6,117,72,41,878
동천초등학교,공립,2,2,45,2,1,65,0,4,63,2,7,78,0,1,66,1,6,63,7,21,380
동항초등학교,공립,1,3,34,3,7,50,2,4,52,3,4,71,0,7,79,0,2,61,9,27,347
문현초등학교,공립,1,3,105,2,3,98,3,4,114,3,8,134,3,3,108,1,4,104,13,25,663
백운초등학교,공립,2,3,35,1,1,47,2,3,46,1,1,59,1,2,53,2,1,40,9,11,280
범일초등학교,공립,0,1,33,4,2,46,6,2,41,6,4,62,1,3,52,2,2,41,19,14,275
보수초등학교,공립,2,2,38,2,3,30,1,5,23,1,3,35,0,3,34,0,2,41,6,18,201
봉래초등학교,공립,0,4,41,0,5,44,5,6,39,1,1,43,3,1,45,1,2,46,10,19,258
분포초등학교,공립,0,1,179,6,10,170,7,4,190,12,5,172,5,2,178,11,3,168,41,25,1057
부산삼육초등학교,사립,1,2,64,4,5,64,7,3,30,2,5,25,2,5,31,1,0,29,17,20,243
석포초등학교,공립,3,3,142,3,9,95,7,6,98,5,8,83,4,3,74,6,10,75,28,39,567
성남초등학교,공립,2,6,84,2,4,66,6,8,76,3,5,71,5,1,63,2,6,67,20,30,427
성동초등학교,공립,5,3,142,10,5,154,4,4,144,2,6,152,1,5,169,4,10,151,26,33,912
성천초등학교,공립,0,0,5,1,0,8,0,2,10,0,0,15,0,2,15,1,0,10,2,4,63
수성초등학교,공립,0,1,37,1,1,31,1,1,40,1,5,39,2,0,38,0,4,33,5,12,218
