"Gender","Height","Weight"
"M",179.4,78.4
"F",166,49.7
"F",177.1,45.9
"F",165.9,46.6
"F",157.5,57
"F",168.9,52.7
"M",189.8,71
"M",162.8,72.9
"F",163.8,50.9
"M",179.1,71.1
"F",170.8,55.7
"M",171.5,77.1
"M",176.6,73.5
"F",181.2,52.9
"M",178.4,74.6
"F",179.2,57.4
"M",172.6,67.2
"M",163.1,68.2
"M",178.8,63.6
"M",181.7,71.9
"M",172,61.8
"M",193.3,69.3
"M",181.7,72.3
"M",184.5,70.4
"M",195.5,74.3
"F",163.1,53.7
"M",183.1,81.5
"F",162.2,55.1
"F",163.2,47.5
"M",178.2,61.9
"M",164.9,64.6
"M",179.7,65.5
"M",168,62.4
"M",183.1,77.4
"M",166.9,75.2
"F",163,52.2
"M",166.5,67
"M",172.5,70.4
"F",159.5,51.3
"F",163.5,52.7
"M",184.9,72.8
"F",162.4,40.6
"M",157.3,64.2
"F",168.7,48.7
"M",191.6,69.1
"M",193.1,66.7
"F",176.6,44.2
"M",171.3,66.5
"M",178.5,71.2
"F",152.2,49.7
"M",169.2,75.3
"M",165.5,71.8
"F",164.5,44.2
"M",185.1,72.2
"M",175.2,67.6
"M",168.5,70.5
"M",170,73.3
"F",162.8,48
"M",170.5,69.5
"F",161.5,46.4
"F",172.9,47
"M",179.4,70.3
"M",170.8,60
"M",174.6,71.7
"M",170.1,70
"F",163.1,55.1
"M",173.5,55.7
"M",190.5,67.9
"M",169.4,70.6
"M",168.5,69.6
"M",176.4,67
"F",174.1,41.4
"M",170,65.4
"F",171.7,53
"M",175.3,74.1
"M",167.8,74.8
"M",185.8,74
"M",165.5,68.2
"M",186.3,69.9
"F",164.8,57.8
"F",162.7,52.6
"M",184,71.7
"M",169.8,76.4
"M",180.5,66.9
"M",174.1,70.1
"F",175.8,56.8
"M",172.3,68.8
"M",191.2,70.7
"M",172.9,69.3
"F",164.2,48
"M",174.5,70.7
"F",166.3,47.2
"M",184.6,66.6
"M",186.4,67.9
"M",176,62.2
"M",186.6,72
"M",167.4,74.2
"M",151.6,63.3
"M",170.3,72
"F",146.7,59.2
"M",151.8,71
"M",180.6,70.4
"M",167.2,78.2
"M",172.7,71.7
"M",159.1,77
"M",180.5,72.3
"M",193.9,72.4
"M",166.2,67.3
"M",173.9,83.5
"M",194.5,69.7
"F",159.8,47.6
"M",194.1,71.9
"F",160,48.8
"M",173.5,73.6
"M",169.9,65.4
"F",171.5,48
"F",167.4,54.1
"M",178.1,67.6
"M",174.5,68.2
"F",179.5,46.6
"F",164.6,42.1
"F",156.4,59
"F",163,54
"F",167.6,41
"M",166.6,62
"M",176.3,68.3
"M",172.2,80.2
"M",168.2,68.6
"M",180,73.3
"M",171.7,65.4
"F",160.1,53.1
"F",155,52.1
"M",169.2,77.2
"M",189.5,62.3
"F",182.9,51.1
"M",187.2,71.7
"F",146.7,50.1
"M",178.2,78.7
"F",175.4,46.6
"F",171.2,53.2
"M",191,73.3
"F",175.6,61.1
"M",167.2,75.5
"M",186,69.4
"M",180.3,76.1
"F",173.5,52.7
"F",166.1,47.9
"M",180.4,63.3
"F",179.9,49.3
"M",165.8,69.3
"M",162.7,60
"M",175.4,62.2
"M",170.8,79.8
"F",170.9,49.2
"M",179.2,76.8
"F",174,43.2
"F",169.7,53.1
"F",165.2,52.2
"M",169.8,71
"M",174.3,73.4
"M",160.9,74
"M",172.2,59.9
"M",167.9,70.2
"M",153.5,73.1
"M",172.2,69.1
"F",161.7,51.9
"M",186.3,74.5
"M",169,69.3
"F",161.5,39.7
"M",176.4,72.3
"F",159.6,48.5
"M",178.7,69.1
"F",168.8,44.7
"M",176.7,70.8
"M",181.6,63.1
"F",170.7,43.2
"M",190.9,69.7
"M",176.2,73.4
"M",162.5,66.5
"M",182.4,71.9
"M",162.8,72.9
"M",155.8,74.9
"F",159.7,38.1
"M",167.6,71.2
"F",172.7,49.1
"M",191.1,67.5
"F",152.7,52.6
"F",185.5,53.6
"M",162.3,65.5
"F",151.1,47.6
"F",186.5,48.3
"F",147.7,47.2
"M",176.7,69.8
"F",153.6,54.4
"F",161.2,52.3
"F",161.5,47.8
"F",168.2,46.5
"F",153.8,49.5
"F",137.4,49
"F",164,56.1
"F",157.5,38.6
"M",189.1,67.9
"M",188.7,68.5
"F",172.9,53.3
"M",182.6,60
"F",171,49
"M",160.3,70.2
"M",163,68.7
"M",173.5,64.9
"F",164.1,51.6
"M",176,67.7
"M",167,70.7
"M",177.3,80.6
"F",165.1,52
"M",162,66.7
"F",164,47.9
"F",137.6,45.6
"F",169.2,56.5
"M",166.1,72
"F",155.1,57.1
"M",189.1,64.6
"M",183.9,63.1
"M",177.7,73
"M",169.3,65.8
"M",174.6,65.2
"M",180.5,76.2
"F",160.6,46
"M",185.6,67.3
"M",186,73.9
"M",163.3,76.5
"F",184.4,51.3
"M",187.1,64.9
"M",158.1,67
"F",166.5,53
"M",177.3,63.2
"M",207,68.1
"F",167.2,47.6
"M",166.6,69.7
"M",181.7,71.1
"F",163.3,56.8
"M",183.4,74.5
"M",160.7,69.7
"M",197.4,65.9
"F",178.9,51.1
"F",146.9,59.4
"M",174.6,70.2
"F",170.5,56.7
"M",180.1,72.8
"F",172.6,43.1
"F",160.5,44
"M",184.8,79
"M",162.8,63.2
"M",182.1,66.5
"M",173.9,67.2
"M",192.8,68.4
"M",172.6,68.1
"M",159.7,72.3
"M",179.9,63.7
"M",178.5,67.4
"M",174.8,67.2
"F",177.8,45.9
"M",166.6,67
"M",174.9,76
"M",185.4,73.8
"M",171.4,71.2
"M",166.3,62.9
"F",160.5,52.3
"M",179.9,74.7
"M",179.3,76.2
"F",153.2,52.2
"M",189.7,68.9
"F",156.6,47.4
"M",188,71.9
"F",157.6,64
"M",168.2,73
"M",166.5,67.8
"F",178.3,42.8
"M",177.3,65.4
"M",174.7,75.4
"M",177,60.3
"M",177,68.6
"M",182.1,74.1
"F",153.2,46.1
"F",157.2,42.9
"F",155.3,52.3
"M",163.1,65.7
"M",172.2,69.7
"M",180.2,70.1
"F",157.8,54
"F",171.7,42.9
"F",167,51.8
"M",188,68.7
"F",159.4,39.6
"M",174.8,75.6
"F",184.5,51.5
"F",180.8,44.7
"F",173.4,49
"M",177,66.2
"F",147.7,53.9
"M",181.4,63.4
"M",161.1,60
"F",169.9,58.7
"M",163.6,72
"M",168.1,65.8
"F",183.4,55.8
"M",180.9,79.1
"M",166.8,57.2
"F",160.7,54.3
"M",184.5,76.1
"F",156.9,45.9
"F",178.7,48.9
"F",162.1,49.7
"M",172,65.6
"M",176.1,66.8
"M",182.2,59.5
"M",188.9,66.8
"M",166.5,74.9
"M",177.9,66.2
"M",188.3,77.8
"F",167.5,44
"M",172.8,70.6
"F",160.7,53
"M",177.9,65.3
"M",168.6,66.1
"M",165.8,67.9
"M",167.2,78.9
"M",179.4,72.1
"M",153.4,69.5
"F",159.4,47.5
"F",154.8,47.9
"F",165.5,45.3
"F",172.7,40
"F",168,47.9
"M",173.9,65.3
"M",180.4,68.9
"M",169,71.7
"M",154.8,74.8
"M",186.5,63.3
"F",153.2,52.3
"M",171.3,59.8
"F",168,40.3
"M",182.7,73.6
"M",179.3,71.3
"F",169.3,53.2
"M",175.5,72.9
"M",170,67.1
"M",172,77.2
"F",162.7,54.7
"F",163.7,55.3
"M",165.5,65.4
"M",178.1,68.8
"F",159.3,50.6
"M",158.1,69.6
"F",158,60.9
"F",154,43.4
"F",173,50.7
"M",186.1,73.9
"F",159.3,50.4
"M",163.5,63.2
"F",163.1,49.8
"M",168.7,71.5
"M",176.3,70.4
"M",179.8,76.2
"M",176.3,63.8
"F",165.7,50.5
"F",169.5,54
"F",174.1,49.2
"M",176.7,75.4
"F",174.9,48.9
"F",175.7,58
"F",135.7,57.8
"M",178.5,79
"F",170.7,57.5
"M",175.1,72.1
"M",181,73.5
"M",192.2,73.4
"F",160.6,49.1
"M",171.2,73.7
"M",185,65.4
"F",156.6,56.2
"M",189.6,60.4
"M",185.4,71.1
"M",158.4,65
"M",179.2,59.1
"M",160.8,61.6
"M",160.4,62.9
"F",160.9,49
"M",175.6,71.6
"F",166.4,51
"F",178.3,53.5
"F",150.9,48.5
"F",175.1,57.4
"F",164.4,58.4
"F",166,56.2
"M",174.3,75.6
"F",175.4,42.3
"M",173.8,80.1
"M",176,74.5
"M",168,69.1
"M",175.4,69.4
"F",161.2,48.6
"M",168.6,68.7
"F",168.9,41.7
"F",164.8,50.9
"M",172.9,70.1
"M",176.9,71.2
"F",175.4,56.7
"M",172.1,61.2
"F",166.4,55.3
"M",180.1,54.4
"F",176.7,50.1
"F",149.2,51
"F",174.5,45.1
"M",163.6,70.1
"F",158.7,56.4
"M",167.9,61.7
"M",163.3,65.6
"F",171.9,56.2
"M",191.3,64.2
"M",162.9,66.2
"F",164.3,47.6
"F",163,49.2
"M",166.2,69
"M",168.9,72.8
"F",167.5,54.7
"M",176.9,68.1
"M",171.5,64.4
"M",183.3,70.9
"M",172.1,68.2
"M",153.3,77.2
"F",157.8,46.7
"F",150.6,49.1
"M",184.4,73.4
"F",177.2,52.9
"M",163.8,69.9
"F",172.6,48.9
"M",180.9,68
"F",157.3,48.1
"F",172.7,49.3
"M",165.3,68.6
"F",166,60.7
"F",155.8,51.4
"F",158,52.7
"M",190,61.6
"F",183.8,51.2
"M",168,69.1
"F",157.5,52
"F",143.4,50.9
"F",160.7,59.9
"M",184.3,65.2
"M",179.5,67.8
"F",188.8,52.6
"F",173.7,46.4
"F",149.6,50.3
"F",176.3,45.4
"F",175.4,46.3
"M",178.3,72.8
"F",169,56.4
"M",181.8,72
"M",163.4,76.5
"M",192.6,66
"F",158.5,60.1
"M",170.5,60.9
"M",176.4,65.1
"M",171.3,67.1
"M",162.9,71.2
"M",148.4,67.6
"M",174.7,72.9
"F",171,48.8
"M",191.4,73.4
"M",155,77.4
"M",168.4,62.9
"M",183.8,74.8
"F",169.5,56.1
"M",176.2,66
"F",156,54.7
"M",177,65.8
"M",172.6,68.5
"F",161.5,52.6
"M",169.2,68.2
"M",186.9,72.6
"M",185.6,63.5
"F",138.9,53.4
"M",171.3,63.3
"M",172,69.7
"M",171.5,74.5
"F",169.1,47
"F",166.8,46.7
"F",176.1,50
"M",178.8,74.7
"M",181.8,80.4
"F",168.4,52.4
"F",177.7,40.3
"M",165.7,75.1
"F",167.9,51.9
"M",175.4,65.2
"F",171.3,47.6
"M",175.5,78.8
"F",171.4,56.4
"M",183.6,81.4
