"price","model","year","transmission","mileage","fuelType","tax","mpg","engineSize"
14450,"Kuga",2017,"Manual",12109,"Petrol",165,45.6,1.5
17500,"Kuga",2018,"Manual",12125,"Diesel",145,54.3,1.5
14800,"Kuga",2016,"Manual",31288,"Diesel",125,60.1,2
11000,"Fiesta",2018,"Manual",28528,"Petrol",145,65.7,1
11330,"Fiesta",2017,"Manual",2690,"Petrol",145,65.7,1
18998,"Focus",2019,"Automatic",2411,"Petrol",150,42.8,1
13290,"EcoSport",2018,"Manual",15000,"Petrol",145,54.3,1
10498,"Fiesta",2018,"Manual",14272,"Petrol",145,65.7,1
21378,"Kuga",2019,"Manual",3259,"Diesel",145,39.2,2
10450,"EcoSport",2017,"Manual",9335,"Petrol",145,52.3,1
9675,"EcoSport",2016,"Manual",40850,"Petrol",125,52.3,1
9697,"Ka+",2019,"Manual",8136,"Petrol",145,48.7,1.2
8500,"Fiesta",2016,"Manual",20844,"Petrol",0,65.7,1
11495,"Fiesta",2019,"Manual",9284,"Petrol",150,55.4,1.1
11900,"Focus",2018,"Manual",17144,"Petrol",145,60.1,1
14750,"EcoSport",2018,"Manual",16197,"Petrol",145,54.3,1
10698,"Focus",2017,"Manual",41068,"Diesel",0,74.3,1.5
12170,"Focus",2017,"Semi-Auto",11634,"Petrol",125,51.4,1
12499,"Focus",2018,"Manual",7732,"Petrol",145,60.1,1
18999,"Kuga",2019,"Manual",11407,"Petrol",145,39.2,1.5
9998,"EcoSport",2017,"Manual",37560,"Petrol",145,53.3,1
11000,"Mondeo",2016,"Manual",50432,"Diesel",0,78.5,1.5
19999,"Focus",2018,"Manual",10365,"Petrol",145,41.5,2
16200,"S-MAX",2017,"Semi-Auto",54371,"Diesel",125,52.3,2
18350,"Kuga",2017,"Automatic",6985,"Petrol",235,38.2,1.5
17000,"Focus",2019,"Automatic",7262,"Diesel",145,54.3,1.5
8300,"Fiesta",2016,"Manual",43121,"Petrol",0,65.7,1
5989,"Fiesta",2013,"Manual",60143,"Petrol",0,65.7,1
11990,"Focus",2013,"Manual",47729,"Petrol",235,39.2,2
8888,"Ka+",2018,"Manual",25000,"Petrol",145,47.9,1.2
33000,"S-MAX",2020,"Semi-Auto",1500,"Diesel",150,43.5,2
10000,"Fiesta",2018,"Manual",6820,"Petrol",145,55.4,1.1
17790,"Kuga",2017,"Manual",8154,"Diesel",145,60.1,2
16982,"Focus",2019,"Manual",4000,"Petrol",145,60.1,1
11998,"Fiesta",2017,"Manual",9177,"Petrol",20,62.8,1
6999,"Fiesta",2016,"Manual",37189,"Petrol",0,65.7,1
8497,"Fiesta",2017,"Manual",14487,"Petrol",145,54.3,1.2
9500,"EcoSport",2016,"Manual",16866,"Petrol",125,52.3,1
8980,"B-MAX",2017,"Manual",22522,"Diesel",0,74.3,1.5
8498,"Fiesta",2016,"Manual",7519,"Petrol",125,54.3,1.2
7695,"Fiesta",2017,"Manual",12868,"Petrol",125,54.3,1.2
11000,"Fiesta",2019,"Manual",19153,"Petrol",150,56.5,1
6995,"Fiesta",2014,"Manual",51176,"Petrol",0,65.7,1
7999,"Focus",2014,"Manual",29160,"Petrol",30,56.5,1
6995,"B-MAX",2014,"Manual",17441,"Diesel",20,68.9,1.5
11295,"Fiesta",2018,"Manual",29923,"Petrol",150,62.8,1
12495,"Fiesta",2018,"Manual",16877,"Petrol",145,62.8,1
11991,"Focus",2017,"Manual",23445,"Diesel",0,74.3,1.5
7998,"Fiesta",2016,"Manual",29531,"Petrol",125,54.3,1.2
7130,"Mondeo",2015,"Manual",79622,"Diesel",0,78.5,1.6
20370,"Focus",2018,"Manual",13008,"Petrol",145,41.5,2
6980,"Fiesta",2015,"Manual",28329,"Petrol",125,54.3,1.2
19999,"Fiesta",2019,"Manual",9000,"Petrol",145,40.3,1.5
14500,"Kuga",2017,"Manual",32909,"Petrol",160,45.6,1.5
12100,"Fiesta",2018,"Manual",7338,"Petrol",145,65.7,1
18020,"Edge",2016,"Automatic",44224,"Diesel",160,48.7,2
11495,"Fiesta",2019,"Manual",3296,"Petrol",150,55.4,1.1
12498,"Grand C-MAX",2017,"Manual",10373,"Petrol",145,54.3,1
8360,"Fiesta",2015,"Manual",9892,"Petrol",0,65.7,1
8799,"Fiesta",2017,"Manual",10604,"Petrol",0,65.7,1
11900,"Focus",2017,"Manual",9574,"Petrol",20,60.1,1
12980,"Fiesta",2019,"Manual",15274,"Petrol",145,60.1,1
18481,"Focus",2018,"Manual",21217,"Petrol",145,41.5,2
11695,"Focus",2016,"Manual",57420,"Diesel",20,67.3,2
6250,"Fiesta",2014,"Manual",40946,"Petrol",0,65.7,1
6495,"Fiesta",2016,"Manual",15083,"Petrol",30,54.3,1.2
7300,"B-MAX",2014,"Manual",38200,"Petrol",30,57.7,1
9590,"Fiesta",2017,"Manual",19605,"Petrol",150,65.7,1
10699,"Focus",2016,"Semi-Auto",12948,"Petrol",165,44.8,1.6
7290,"Fiesta",2016,"Manual",54184,"Diesel",0,88.3,1.5
10299,"Fiesta",2017,"Manual",2650,"Petrol",145,65.7,1
9607,"B-MAX",2016,"Semi-Auto",9045,"Petrol",160,44.1,1.6
7991,"Fiesta",2017,"Manual",32444,"Petrol",150,65.7,1
18495,"Kuga",2019,"Manual",7959,"Diesel",145,38.2,2
7895,"B-MAX",2016,"Manual",41818,"Petrol",30,57.7,1
8290,"Fiesta",2017,"Manual",26030,"Diesel",145,78.5,1.5
8390,"Focus",2014,"Manual",18680,"Diesel",20,67.3,1.6
11791,"Fiesta",2018,"Manual",9358,"Petrol",145,65.7,1
10400,"Fiesta",2016,"Manual",20000,"Petrol",20,62.8,1
7498,"B-MAX",2015,"Manual",17151,"Petrol",145,47.1,1.4
11000,"Fiesta",2018,"Manual",16863,"Petrol",145,56.5,1
11250,"Fiesta",2018,"Manual",29463,"Petrol",150,62.8,1
9995,"Fiesta",2016,"Manual",13893,"Petrol",0,65.7,1
18490,"Focus",2020,"Manual",1421,"Petrol",145,49.6,1
18500,"Focus",2018,"Manual",5297,"Diesel",145,57.7,1.5
9698,"B-MAX",2017,"Manual",14708,"Diesel",0,74.3,1.5
15990,"S-MAX",2017,"Manual",28115,"Diesel",145,56.5,2
14498,"Focus",2016,"Manual",32263,"Petrol",200,41.5,2
10460,"Ka+",2019,"Manual",1161,"Petrol",145,47.9,1.2
11500,"EcoSport",2016,"Semi-Auto",13556,"Petrol",160,44.8,1.5
21000,"Kuga",2019,"Automatic",6277,"Petrol",145,29.1,1.5
14989,"Kuga",2017,"Manual",22182,"Diesel",125,60.1,2
11070,"Focus",2016,"Manual",17975,"Diesel",0,74.3,1.5
10597,"Fiesta",2018,"Manual",5643,"Petrol",145,64.2,1.1
8500,"Fiesta",2017,"Manual",15693,"Petrol",145,65.7,1
8000,"Focus",2015,"Manual",49327,"Petrol",20,60.1,1
12350,"Fiesta",2019,"Manual",3977,"Petrol",145,56.5,1
14291,"Kuga",2017,"Manual",30306,"Petrol",160,45.6,1.5
16000,"Focus",2019,"Manual",6894,"Petrol",145,60.1,1
12550,"Fiesta",2019,"Manual",3327,"Petrol",150,56.5,1
8788,"Fiesta",2018,"Manual",33610,"Petrol",145,64.2,1.1
9295,"Ka+",2018,"Manual",8396,"Petrol",145,47.9,1.2
13999,"EcoSport",2018,"Manual",11625,"Petrol",145,54.3,1
14300,"Focus",2015,"Manual",40457,"Diesel",20,67.3,0
14591,"Focus",2018,"Manual",37880,"Petrol",145,60.1,1
