school_name,student_1,student_2,student_3,student_4,student_5,student_6,teacher
광일초등학교,43,36,35,51,65,60,16
남성초등학교,86,100,99,71,78,49,22
대남초등학교,46,70,49,40,62,56,20
대연초등학교,132,135,151,156,179,171,45
대천초등학교,90,106,84,106,126,118,34
동일중앙초등학교,153,177,134,174,150,156,47
동천초등학교,47,46,45,59,52,69,20
동항초등학교,15,38,26,40,42,58,16
문현초등학교,81,104,95,86,98,109,34
백운초등학교,32,23,31,44,44,55,16
범일초등학교,31,31,30,38,38,59,16
보수초등학교,27,23,38,31,20,34,14
봉래초등학교,29,32,40,36,41,39,15
분포초등학교,143,153,175,166,187,169,53
부산삼육초등학교,60,64,64,64,29,22,10
석포초등학교,89,118,128,94,92,85,30
성남초등학교,87,73,80,66,70,72,26
성동초등학교,140,132,140,150,148,149,46
성천초등학교,23,18,8,15,15,18,10
수성초등학교,26,22,31,31,39,32,14
수정초등학교,60,66,54,68,78,82,24
신연초등학교,0,2,0,3,4,11,7
연포초등학교,209,204,208,215,231,183,59
용당초등학교,17,19,10,26,21,28,12
용산초등학교,42,60,56,58,72,53,22
용호초등학교,65,74,76,61,93,91,27
우암초등학교,38,50,58,51,61,53,18
운산초등학교,76,70,85,79,69,90,32
초량초등학교,30,38,48,30,57,39,17
공덕초등학교,13,20,7,7,5,0,9
교동초등학교,132,160,154,151,174,142,46
구서초등학교,81,106,81,89,103,116,31
금강초등학교,109,109,105,106,116,115,39
금사초등학교,52,66,44,59,49,54,23
금성초등학교,3,10,6,9,13,18,9
금양초등학교,107,115,157,135,164,143,43
금정초등학교,149,187,159,156,185,146,46
낙민초등학교,111,143,96,109,83,101,32
남산초등학교,62,63,79,70,83,88,24
내산초등학교,39,36,34,37,39,63,17
내성초등학교,19,21,23,26,36,25,15
달북초등학교,101,110,92,95,97,77,29
동래초등학교,112,119,117,100,93,78,22
동상초등학교,17,18,20,22,17,24,10
동현초등학교,60,41,58,53,65,60,21
명동초등학교,85,102,91,86,64,59,26
명륜초등학교,172,206,197,203,239,239,53
명서초등학교,17,14,24,20,25,33,10
