연월,살인_발생건수,살인_검거건수,강도_발생건수,강도_검거건수,강간_강제추행_발생건수,강간_강제추행_검거건수,절도_발생건수,절도_검거건수,폭력_발생건수,폭력_검거건수
2008. 01 월,19,18,49,49,191,186,1870,1166,5534,5342
2008. 02 월,9,9,43,36,184,182,1733,996,4534,4341
2008. 03 월,14,10,78,75,262,255,2374,1687,5690,5464
2008. 04 월,19,20,102,88,276,262,2513,1744,6080,5843
2008. 05 월,23,23,79,71,297,290,2406,1375,6427,6135
2008. 06 월,19,18,95,80,364,348,2893,1696,6958,6724
2008. 07 월,15,16,90,74,331,331,2577,1626,6791,6494
2008. 08 월,19,18,69,54,327,299,2316,1310,6023,5788
2008. 09 월,22,23,90,78,342,319,2701,1685,6979,6686
2008. 10 월,18,17,92,78,313,303,2620,1532,6907,6640
2008. 11 월,19,21,73,62,257,226,2387,1336,5871,5503
2008. 12 월,25,28,88,73,277,273,2504,1450,6493,6115
2009. 01 월,18,16,93,77,214,208,1901,1221,5081,4854
2009. 02 월,11,10,66,49,205,202,1870,1037,5119,4882
2009. 03 월,18,18,121,92,279,266,2913,1573,6532,6216
2009. 04 월,16,19,128,111,281,270,2662,2056,6531,6243
2009. 05 월,29,29,288,295,340,331,3767,2906,7049,6731
2009. 06 월,25,21,127,113,378,360,3397,2317,7459,7135
2009. 07 월,20,20,150,144,363,364,4122,2193,6870,6559
2009. 08 월,34,35,104,99,371,365,3324,2911,5544,5431
2009. 09 월,21,21,132,151,351,358,4395,3704,6117,5790
2009. 10 월,22,23,129,134,342,341,3458,2853,5626,5416
2009. 11 월,20,20,97,87,306,296,2973,2183,5611,5240
2009. 12 월,16,14,75,80,328,323,2385,1823,5528,5303
2010. 01 월,12,10,53,53,222,219,1773,1306,4783,4646
2010. 02 월,15,14,79,66,249,252,2218,1689,4300,4133
2010. 03 월,28,27,68,73,395,389,3252,2972,5515,5334
2010. 04 월,24,27,104,94,399,399,3720,3002,5474,5181
2010. 05 월,25,22,102,81,471,446,4950,2903,6017,5185
2010. 06 월,29,31,85,70,449,416,4744,2391,6071,5120
2010. 07 월,30,31,93,77,443,416,4693,2008,5909,5051
2010. 08 월,23,23,78,71,510,463,5014,2102,6330,5404
2010. 09 월,27,27,97,101,496,436,4574,2414,6160,5303
2010. 10 월,29,29,106,90,450,400,4830,2130,6103,5158
2010. 11 월,26,22,84,73,403,338,4728,1894,6018,5044
2010. 12 월,26,22,80,71,452,394,4891,1562,6118,5002
2011. 01 월,22,21,75,53,325,284,3816,1244,5276,4384
2011. 02 월,16,17,93,59,355,311,4426,1438,4889,3748
2011. 03 월,28,21,113,84,500,428,7441,1954,6214,4896
2011. 04 월,16,17,77,80,381,381,4052,1883,5379,4714
2011. 05 월,29,28,65,60,494,455,4306,1934,6174,5314
2011. 06 월,27,25,61,56,507,467,4317,1905,6130,5277
2 011. 07 월,17,11,101,72,569,460,4609,1720,7332,5450
2011. 08 월,25,23,101,86,528,481,4687,2076,6730,5730
2011. 09 월,21,23,68,64,437,407,4297,1788,6035,5359
2011. 10 월,16,17,68,56,423,383,4336,1477,6087,5191
2011. 11 월,22,21,47,44,400,352,4121,1367,6077,4964
2011. 12 월,19,18,87,75,333,273,4004,1303,5738,4671
2012. 01 월,15,14,43,36,279,258,3727,1179,5235,4347
2012. 02 월,15,15,46,38,297,279,3341,1384,4683,3907
2012. 03 월,11,12,44,30,309,265,3839,1446,5418,4572
2012. 04 월,19,19,59,47,380,319,4601,1760,5852,4876
2012. 05 월,16,14,56,52,467,402,5392,1817,6426,5312
2012. 06 월,15,17,36,31,479,374,5494,1653,6346,5286
2012. 07  월,22,21,50,41,595,473,6288,1733,6775,5568
2012. 08 월,17,15,74,60,480,403,6287,1848,6513,5391
2012. 09 월,10,10,43,29,480,417,5328,1753,5986,5031
2012. 10 월,14,16,38,32,458,409,6131,1716,6563,5501
2012. 11 월,16,17,39,33,381,300,5602,1501,5559,4581
2012. 12 월,9,9,42,30,303,233,5406,1408,5276,4238
2013. 01 월,15,13,38,26,308,257,4858,1373,4990,4124
2013. 02 월,13,11,39,26,271,220,4382,1162,4192,3400
2013. 03 월,9,10,45,31,364,314,4266,1545,4936,4157
2013. 04 월,12,12,52,34,448,406,4915,1899,5363,4516
2013. 05 월,15,16,33,36,487,395,5203,1804,5834,4900
2013. 06 월,9,6,35,28,554,456,5871,1672,5740,4653
2013. 07 월,15,13,25,20,590,500,5830,2102,6366,5311
2013. 08 월,16,18,36,32,537,488,5650,1822,5796,4855
2013. 09 월,12,10,22,21,485,404,5602,1800,5603,4662
2013. 10 월,16,16,32,31,589,525,5690,1995,6016,5020
2013. 11 월,13,15,29,24,346,321,4702,1566,5367,4468
2013. 12 월,7,6,34,25,408,282,4616,1282,5219,4209
