관할서명,서센터명,화재구분,접수일시,상황종료일시
조치원소방서,전의119안전센터,기타화재,2012-08-28 16:36,2012-08-28 17:09
조치원소방서,조치원119안전센터,기타화재,2012-07-14 23:41,2012-07-15 0:10
조치원소방서,조치원119안전센터,일반화재(주택),2012-07-15 14:26,2012-07-15 14:50
조치원소방서,조치원119안전센터,대형화재,2012-07-16 1:36,2012-07-16 2:58
조치원소방서,조치원119안전센터,일반화재(주택),2012-07-29 12:50,2012-07-29 13:44
조치원소방서,전의119안전센터,일반화재(주택),2012-07-16 10:44,2012-07-16 11:33
조치원소방서,전의119안전센터,일반화재(주택),2012-07-16 11:29,2012-07-16 12:23
조치원소방서,조치원119구조대,일반화재(주택),2012-07-16 21:56,2012-07-16 21:57
조치원소방서,조치원119구조대,산불,2012-07-29 18:03,2012-07-29 18:49
조치원소방서,첫마을119안전센터,기타화재,2012-08-13 20:22,2012-08-14 3:12
조치원소방서,조치원119안전센터,기타화재,2012-09-02 0:36,2012-09-02 1:10
조치원소방서,부강119안전센터,대형화재,2012-07-18 18:02,2012-07-18 18:53
조치원소방서,조치원119구조대,일반화재(주택),2012-07-19 6:54,2012-07-19 8:43
조치원소방서,첫마을119안전센터,일반화재(주택),2012-07-31 18:05,2012-07-31 20:50
조치원소방서,조치원119구조대,일반화재(주택),2012-07-01 0:33,2012-07-31 22:39
조치원소방서,부강119안전센터,대형화재,2012-07-04 17:02,2012-07-31 22:42
조치원소방서,첫마을119안전센터,일반화재(주택),2012-08-15 12:35,2012-08-15 12:47
조치원소방서,조치원119구조대,기타화재,2012-09-05 17:36,2012-09-05 18:44
조치원소방서,전의119안전센터,일반화재(차량),2012-09-05 21:10,2012-09-05 22:28
조치원소방서,전의119안전센터,대형화재,2012-07-20 1:09,2012-07-20 1:37
조치원소방서,부강119안전센터,일반화재(주택),2012-08-01 12:40,2012-08-01 12:42
조치원소방서,전의119안전센터,산불,2012-08-02 9:46,2012-08-02 9:52
조치원소방서,조치원119구조대,일반화재(차량),2012-07-20 23:22,2012-07-21 3:00
조치원소방서,부강119안전센터,일반화재(차량),2012-08-02 12:05,2012-08-02 13:14
조치원소방서,전의119안전센터,일반화재(차량),2012-08-16 18:18,2012-08-16 19:45
