"airline","flight","source_city","departure_time","stops","arrival_time","destination_city","class","duration","days_left","price"
"Vistara","UK-874","Hyderabad","Morning","one","Afternoon","Delhi","Economy",5.58,10,10018
"Air_India","AI-687","Mumbai","Afternoon","zero","Evening","Delhi","Business",2.25,12,30080
"Vistara","UK-830","Hyderabad","Morning","one","Morning","Kolkata","Economy",23.25,19,5960
"GO_FIRST","G8-803","Bangalore","Evening","one","Late_Night","Mumbai","Economy",7.17,37,4354
"Indigo","6E-5338","Mumbai","Morning","one","Afternoon","Kolkata","Economy",7.33,8,10406
"Vistara","UK-812","Bangalore","Morning","one","Evening","Kolkata","Business",9.83,16,62188
"Vistara","UK-944","Mumbai","Afternoon","one","Morning","Kolkata","Economy",18.92,10,12557
"Vistara","UK-970","Mumbai","Morning","zero","Morning","Delhi","Business",2.25,24,36700
"Vistara","UK-877","Mumbai","Morning","one","Evening","Bangalore","Economy",8.75,48,4658
"GO_FIRST","G8-7556","Hyderabad","Afternoon","one","Night","Bangalore","Economy",5.92,12,4452
"Vistara","UK-802","Bangalore","Evening","one","Early_Morning","Mumbai","Economy",13.08,24,6568
"Indigo","6E-7193","Chennai","Early_Morning","one","Afternoon","Mumbai","Economy",6.67,47,1830
"Vistara","UK-870","Hyderabad","Night","one","Morning","Kolkata","Economy",12,39,6275
"Air_India","AI-610","Bangalore","Evening","one","Evening","Delhi","Business",24.17,5,42521
"Indigo","6E-5359","Mumbai","Early_Morning","one","Morning","Chennai","Economy",4.42,43,1890
"SpiceJet","SG-2976","Delhi","Evening","one","Morning","Mumbai","Economy",15.25,28,3519
"Vistara","UK-816","Bangalore","Morning","one","Night","Chennai","Business",8.75,24,60396
"Air_India","AI-503","Bangalore","Evening","one","Morning","Hyderabad","Economy",18.08,37,5780
"Air_India","AI-402","Kolkata","Morning","one","Evening","Mumbai","Business",9.58,24,50271
"Indigo","6E-875","Kolkata","Evening","one","Late_Night","Delhi","Economy",7.92,16,4276
"Vistara","UK-836","Chennai","Morning","one","Night","Mumbai","Business",12.08,26,49553
"Vistara","UK-860","Hyderabad","Early_Morning","two_or_more","Morning","Kolkata","Business",26.75,3,76314
"Vistara","UK-808","Bangalore","Early_Morning","zero","Morning","Delhi","Economy",2.67,25,4502
"Air_India","AI-767","Delhi","Afternoon","one","Night","Chennai","Economy",9.17,9,11520
"Air_India","AI-806","Mumbai","Early_Morning","one","Afternoon","Kolkata","Economy",6.5,29,5502
"Vistara","UK-902","Mumbai","Afternoon","one","Night","Bangalore","Economy",6.92,12,11129
"AirAsia","I5-711","Delhi","Early_Morning","one","Morning","Kolkata","Economy",5.67,27,2480
"Air_India","AI-9745","Kolkata","Morning","one","Evening","Mumbai","Economy",5.58,49,4846
"Vistara","UK-816","Bangalore","Morning","one","Evening","Mumbai","Economy",7.58,36,6568
"Vistara","UK-864","Bangalore","Evening","one","Late_Night","Delhi","Economy",5.17,22,4111
"Vistara","UK-877","Mumbai","Morning","zero","Afternoon","Hyderabad","Business",1.5,4,21479
"AirAsia","I5-996","Bangalore","Evening","zero","Night","Delhi","Economy",2.83,41,4498
"Air_India","AI-569","Chennai","Early_Morning","one","Afternoon","Kolkata","Business",29.83,21,54481
"Indigo","6E-6067","Bangalore","Evening","one","Night","Mumbai","Economy",7.08,30,4190
"Vistara","UK-865","Mumbai","Evening","one","Night","Hyderabad","Economy",25.75,31,3334
"Indigo","6E-512","Kolkata","Afternoon","one","Evening","Hyderabad","Economy",4.5,25,6489
"Vistara","UK-854","Bangalore","Evening","one","Morning","Delhi","Economy",14.17,10,11164
"GO_FIRST","G8-790","Bangalore","Afternoon","one","Night","Mumbai","Economy",6.33,49,6863
"Air_India","AI-542","Delhi","Morning","one","Night","Chennai","Business",12.83,45,38626
"Indigo","6E-384","Hyderabad","Morning","one","Evening","Kolkata","Economy",7.25,41,4390
"Indigo","6E-541","Bangalore","Morning","one","Afternoon","Hyderabad","Economy",3.83,14,5488
