응답자ID,성별,1번문항,10번문항,19번문항
1,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
2,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
3,여,잘 알고 있다.,들어본 적이 있다.,없다.
4,남,잘 알고 있다.,보통정도이다.,전혀 없다.
5,여,잘 알고 있다.,보통정도이다.,전혀 없다.
6,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
7,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
8,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
9,여,잘 알고 있다.,보통정도이다.,전혀 없다.
10,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
11,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
12,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
13,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
14,여,보통이다.,보통정도이다.,전혀 없다.
15,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
16,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
17,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
18,남,매우 잘 알고 있다.,보통정도이다.,없다.
19,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
20,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
21,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
22,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
23,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
24,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
25,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
26,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
27,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
28,남,보통이다.,보통정도이다.,보통 수준이다.
29,남,잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
30,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
31,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
32,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
33,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,보통 수준이다.
34,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
35,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
36,남,보통이다.,자주 들어본 적이 있다.,없다.
37,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
38,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
39,여,잘 모르고 있다.,들어본 적이 있다.,전혀 없다.
40,남,잘 알고 있다.,보통정도이다.,전혀 없다.
41,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
42,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
43,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
44,남,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
45,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
46,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
47,남,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
48,남,잘 알고 있다.,자주 들어본 적은 없다.,없다.
49,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
50,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
51,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
52,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
53,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
54,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
55,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
56,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
57,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
58,여,잘 알고 있다.,들어본 적이 있다.,없다.
59,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
60,여,잘 알고 있다.,들어본 적이 있다.,없다.
61,남,보통이다.,자주 들어본 적이 있다.,없다.
62,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
63,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
64,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
65,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
66,남,보통이다.,자주 들어본 적이 있다.,많다.
67,여,잘 알고 있다.,들어본 적이 있다.,많다.
68,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
69,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
70,여,매우 잘 알고 있다.,보통정도이다.,없다.
71,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,많다.
72,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
73,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
74,남,잘 알고 있다.,자주 들어본 적은 없다.,없다.
75,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
76,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
77,남,잘 알고 있다.,자주 들어본 적이 있다.,매우 많다.
78,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
79,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
80,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
81,남,잘 모르고 있다.,들어본 적이 있다.,없다.
82,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
83,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
84,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
85,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
86,남,보통이다.,들어본 적이 있다.,없다.
87,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
88,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
89,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
90,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
91,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
92,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
93,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
94,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
95,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
96,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
97,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
98,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
99,남,매우 잘 알고 있다.,보통정도이다.,없다.
100,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
101,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
102,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
103,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
104,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
