Gender,Ages,Customer_Type,Class,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes
Male,"[10, 20)",NL,Eco,0,0
Male,10_19,L,Eco,2,0
Male,10_19,NL,Business,63,56
Female,10_19,NL,Eco,0,0
Female,10_19,L,Eco,0,0
Male,10_19,L,Business,0,0
Female,10_19,L,Business,0,0
Male,10_19,NL,Business,0,0
Male,10_19,L,Business,0,3
Female,10_19,NL,Eco,0,0
Female,10_19,L,Business,0,0
Female,10_19,NL,Eco,0,0
Female,10_19,L,Eco,0,0
Female,10_19,L,Business,16,3
Female,10_19,L,Eco,0,0
Male,10_19,NL,Eco,52,40
Male,10_19,NL,Business,11,42
Female,10_19,NL,Eco,0,0
Male,10_19,L,Eco,8,0
Male,10_19,L,Eco,31,39
Female,10_19,L,Eco,0,0
Female,10_19,NL,Business,0,0
Male,10_19,NL,Business,0,0
Male,10_19,L,Eco,4,1
Male,10_19,L,Business,0,2
Male,10_19,L,Eco,3,0
Male,10_19,L,Business,0,3
Female,10_19,L,Eco,0,0
Female,10_19,NL,Business,0,0
Male,10_19,L,Business,0,0
Female,10_19,NL,Business,4,0
Male,10_19,L,Business,0,0
Female,10_19,L,Business,0,0
Female,10_19,NL,Business,5,0
Female,10_19,L,Business,2,0
Female,10_19,L,Business,0,0
Male,10_19,NL,Eco,0,3
Male,10_19,NL,Eco,19,25
Male,10_19,L,Eco,1,0
Female,10_19,L,Eco,0,0
Female,20_29,NL,Business,8,22
Male,20_29,NL,Eco,0,0
Male,20_29,L,Business,0,0
Female,20_29,L,Business,8,4
Female,20_29,NL,Eco,3,0
Female,20_29,L,Business,0,5
Female,20_29,L,Business,21,15
Male,20_29,L,Business,15,8
Male,20_29,L,Eco,0,5
Male,20_29,NL,Eco,0,0
Male,20_29,L,Business,0,0
Male,20_29,NL,Eco,10,34
Female,20_29,L,Business,0,0
Male,20_29,L,Business,0,0
Female,20_29,L,Eco,0,0
Female,20_29,NL,Business,0,0
Female,20_29,L,Eco,0,0
Female,20_29,NL,Eco,0,0
Female,20_29,NL,Business,0,3
Female,20_29,L,Business,18,28
Male,20_29,L,Eco,0,0
