자전거ID,대여일시,대여소번호,대여소명,이용시간,이용거리
SPB-48602,2022-06-01 11:01,438,성산2-1 공영주차장,48,3810
SPB-58165,2022-06-01 11:02,318,광교사거리 남측,3,561.59
SPB-35010,2022-06-01 11:02,441,염천교사거리,9,1242.03
SPB-54599,2022-06-01 11:03,427,성산시영아파트,169,8734.45
SPB-60921,2022-06-01 11:03,42 7,성산시영아파트,169,11110
SPB-59987,2022-06-01 11:04,314,국립현대미술관,8,1060
SPB-53519,2022-06-01 11:04,326,안국역 5번출구 앞,11,1257.86
SPB-48175,2022-06-01 11:04,614,용두동 사거리,28,2440
SPB-51673,2022-06-01 11:04,996,응암역2번출구 국민은행 앞,36,6300
SPB-61216,2022-06-01 11:05,316,종각역 1번출구 앞,69,7284.32
SPB-63337,2022-06-01 11:05,320,을지로입구역 4번출구 앞,112,230
SPB-57538,2022-06-01 11:05,344,성균관대 E하우스 앞,4,900
SPB-32109,2022-06-01 11:05,479,동대입구역 3번 출구,91,869.39
SPB-55792,2022-06-01 11:05,186,월드컵공원,35,2799.32
SPB-50715,2022-06-01 11:05,427,성산시영아파트,16,2553.59
SPB-82803,2022-06-01 11:05,146,마포역 2번출구 뒤,11,1590
SPB-46371,2022-06-01 11:06,349,사직동주민센터,18,3520
SPB-58075,2022-06-01 11:06,613,신설동역 10번출구 앞,4,753.61
SPB-42792,2022-06-01 11:06,614,용두동 사거리,26,2514.03
SPB-53363,2022-06-01 11:06,400,상암한화오벨리스크 1차 앞,44,2557.02
SPB-50117,2022-06-01 11:06,614,용두동 사거리,10,1710
SPB-49065,2022-06-01 11:06,369,광화문 시민열린마당,19,2110
SPB-43538,2022-06-01 11:06,449,일성아파트,3,208.34
SPB-35659,2022-06-01 11:06,498,연남동주민센터 앞,46,398.66
SPB-54980,2022-06-01 11:07,316,종각역 1번출구 앞,4,650
SPB-63301,2022-06-01 11:07,175,홍연2교옆,42,10830
SPB-34044,2022-06-01 11:07,370,시청역(2호선) 9번출구 뒤,13,939.26
SPB-33180,2022-06-01 11:07,400,상암한화오벨리스크 1차 앞,9,1239.55
SPB-59458,2022-06-01 11:08,464,삼청동 골목,16,1370
SPB-53204,2022-06-01 11:08,464,삼청동 골목,16,1310
SPB-40773,2022-06-01 11:08,492,성산시영아파트 후문,31,923.09
SPB-42619,2022-06-01 11:08,148,용강동 주민센터 앞,57,2036.96
SPB-54635,2022-06-01 11:09,367,독립문역 3-1번출구,12,2027.3
SPB-34476,2022-06-01 11:10,819,선린인터넷 고등학교,39,5764.74
SPB-35417,2022-06-01 11:10,426,서울신용보증재단,10,870.49
SPB-47756,2022-06-01 11:10,495,염리초등학교 앞,8,1040
SPB-57731,2022-06-01 11:11,491,월드컵파크 4단지,9,1540
SPB-84913,2022-06-01 11:11,420,서울시 공공자전거 상암센터,61,5240
SPB-53656,2022-06-01 11:12,369,광화문 시민열린마당,61,6698.27
SPB-43692,2022-06-01 11:13,369,광화문 시민열린마당,62,7037.98
SPB-58260,2022-06-01 11:13,420,서울시 공공자전거 상암센터,59,3330
SPB-84226,2022-06-01 11:13,530,청계벽산아파트 앞,7,1230
SPB-58165,2022-06-01 11:14,309,광화문역 6번출구 옆,2,0
SPB-84599,2022-06-01 11:14,362,청계8가 사거리,15,3620
SPB-41167,2022-06-01 11:14,839,보광동 삼성리버빌아파트 앞,56,3940
