x1,x2,x3,y
0.7759,M,0.9167,0
0.9397,M,0.1167,0
-0.2241,M,0.3,0
0.7759,M,2.0333,0
0.7759,M,0.5,0
0.7759,M,0.3,0
0.7759,M,2.2667,0
0.3103,M,0.8333,0
-1.7759,F,0.75,0
0.5776,M,4.2667,0
0.1552,M,1.4167,0
0.7759,M,0.4,0
0.7759,M,0.2833,0
-1.1379,M,3.4333,0
0.9397,F,2.4667,0
-1.2759,M,0.2333,0
-1.7759,M,0.4,0
0.8103,M,1.2333,0
-1.7759,F,0.1,0
0.8276,M,1.5333,0
0.5603,M,0.9167,0
0.7759,M,0.8667,0
-1.7759,M,1.2667,0
0.8276,M,0.3333,0
0.5948,M,0.9833,0
0.5776,M,0.4333,0
0.7759,M,0.5667,0
-1.7759,M,1.4167,0
0.7759,F,0.6833,0
0.7155,M,0.9,0
-1.1379,M,0.95,0
0.5603,M,0.65,0
0.0517,M,1.2167,0
0.9397,M,2.6333,0
-1.7759,M,0.2833,0
0.8276,M,0.3333,0
-0.7931,F,0.2,0
-1.7759,M,1.3667,0
0.0517,M,1.0833,0
0.6897,M,0.8333,0
-0.4655,M,0.7,0
0.7759,M,1.5333,0
-1.7759,M,1.5667,0
0.6897,M,1.2333,0
0.4914,M,0.7167,0
0.8103,M,0.85,0
0.7759,M,0.4167,0
0.7759,F,0.4,0
0.8103,M,0.85,0
0.6293,M,1,0
0.569,M,0.35,0
0.7759,M,0.3833,0
0.7759,M,0.1667,0
0.7759,M,0.3833,0
0.9397,F,0.9333,0
-1.7759,M,1.9,0
-1.7759,M,0.3667,0
0.8276,M,1.3667,0
0.9397,F,1.5667,0
-0.2241,M,1.4333,0
0.7759,F,0.85,0
0.7759,M,0.1333,0
0.8276,M,0.15,0
-0.5431,M,0.35,0
0.9397,M,0.35,0
0.7759,M,0.5833,0
-1.7759,M,0.1833,0
-1.7759,M,3.6333,0
0.7759,M,1.9333,0
0.8276,M,0.5167,0
-1.7759,M,0.5667,0
0.7759,M,0.4833,0
-0.2241,M,1.8667,0
0.8103,M,1.0833,0
0.7759,M,0.3667,0
-1.7759,M,1.2167,0
-0.6552,M,0.5833,1
-1.7759,F,1.9,1
-1.7759,M,0.1,1
0.7759,M,3.2333,1
-1.1379,M,1.8,1
-2.3448,M,1.0167,1
-1.1379,M,1.7,1
0.7759,M,1.7333,1
-1.1379,M,0.3667,1
-1.7759,M,0.4667,1
-0.5431,F,0.1667,1
-2.3707,M,0.1,1
-1.7759,M,0.35,1
-0.8879,M,0.9333,1
0.3103,M,0.1667,1
-1.2759,F,1.3667,1
-1.7759,M,0.0667,1
0.7759,M,0.6,1
0.7759,M,0.4667,1
0.4914,M,1.1167,1
0.7759,F,0.8667,1
-2.4138,M,1.0333,1
0.7759,M,0.4333,1
0.6897,M,0.15,1
-1.7759,M,0.9833,1
0.6897,M,1.5,1
-1.7759,M,0.2333,1
-1.7759,M,0.8667,1
0.7759,M,0.4667,1
