번호,홍보비,제작비,예산,영화길이_분,남자_주연_배우_순위,여_주연_배우_순위,디렉터_순위,프로듀서_순위,비평가_순위,트레일러_뷰수,3D_가능여부,트위터_해시태그_수,장르,배우_평균_나이
2,20.1264,59.62,36524.125,138.7,7.825,8.095,7.91,7.995,7.94,527367,Y,223.84,Thriller,23
3,20.5462,69.14,35668.655,152.4,7.505,7.65,7.44,7.47,7.44,494055,N,243.456,Drama,42
4,20.5458,69.14,39912.675,134.6,7.485,7.57,7.495,7.515,7.44,547051,N,2022.4,Comedy,38
5,20.6474,59.36,38873.89,119.3,6.895,7.035,6.92,7.02,8.26,516279,Y,225.344,Drama,45
6,21.381,59.36,39701.585,127.7,6.92,7.07,6.815,7.07,8.26,531448,N,225.792,Drama,55
7,20.597,59.36,35718.65,132.2,6.89,7.1,6.885,7.005,7.26,498425,Y,284.592,Comedy,53
8,21.7658,70.74,33396.66,140.1,7.065,7.265,7.15,7.4,8.96,459241,Y,243.664,Thriller,41
9,22.891,70.74,34285.46,169.6,6.98,7.075,6.875,7.17,7.96,400821,N,243.536,Drama,56
10,24.2248,70.74,31280.205,173.5,6.91,7.075,6.85,7,7.96,295168,Y,242.64,Comedy,55
11,23.4008,70.74,33352.22,159.4,6.665,6.725,6.575,6.855,7.96,412012,Y,283.024,Thriller,45
12,24.4978,70.74,35424.235,167.8,6.675,6.845,6.725,7.06,8.96,369595,N,222.4,Drama,29
13,22.3494,70.74,33379.995,156.4,6.865,7.035,6.745,6.905,8.96,451646,N,263.024,Action,23
14,21.8756,70.74,32713.395,112.5,7.12,7.43,7.21,7.335,8.96,407557,Y,203.472,Action,57
15,32.5952,71.28,33046.695,135.3,7.64,7.705,7.535,7.705,6.8,472490,Y,283.264,Comedy,39
16,32.7592,71.28,33863.28,158,7.7,7.9,7.76,7.71,7.8,495311,N,262.912,Comedy,49
17,32.5478,71.28,32407.87,130,7.7,7.825,7.64,7.84,6.8,497626,Y,283.184,Thriller,28
18,41.0786,71.28,32968.925,102.8,7.67,7.805,7.74,7.785,7.8,532331,N,203.696,Comedy,46
19,35.684,71.28,33274.45,155.2,7.72,7.925,7.82,8.015,6.8,431225,N,222.8,Drama,56
20,36.0542,71.28,30308.08,110.1,8.1,8.24,8.07,8,6.8,448317,Y,243.232,Action,41
21,34.516,71.28,31813.485,143,8.01,8.175,8,8.215,7.8,463328,N,242.912,Action,27
22,45.0358,71.28,30941.35,171.6,8.035,8.205,7.955,8.21,7.8,371051,Y,302.176,Action,44
23,37.0408,71.28,33135.575,162.7,7.945,8.14,7.83,8.06,7.8,457361,Y,283.136,Comedy,23
24,44.6494,71.28,34118.81,165.2,7.91,8.01,7.845,8.275,6.8,387496,Y,282.432,Thriller,48
25,39.7686,71.28,32291.215,173.5,7.825,8.01,7.935,8.04,7.8,365213,Y,262.32,Drama,29
26,35.0052,71.28,32907.82,167.6,7.655,7.965,7.64,7.94,7.8,414145,Y,262.496,Drama,27
27,36.8108,71.28,31102.445,159.2,7.655,7.835,7.64,7.96,7.8,422375,Y,262.224,Thriller,35
28,33.4382,71.28,32291.215,163.8,7.53,7.705,7.645,7.755,6.8,436807,N,242.656,Drama,59
29,39.1154,71.28,33591.085,162.3,7.75,7.8,7.7,7.845,6.8,406866,Y,262.368,Drama,20
30,35.4598,71.28,36079.725,167.9,7.715,7.825,7.655,7.895,7.8,455480,Y,302.944,Thriller,35
31,40.049,71.28,37074.07,160.8,7.735,8.03,7.82,7.935,6.8,466851,N,243.36,Thriller,50
32,42.6162,71.28,31735.715,167.6,7.74,7.91,7.815,8.07,6.8,350102,N,242.032,Drama,34
33,47.0944,71.28,33729.96,173.5,7.805,7.97,7.76,8.115,6.8,436306,Y,242.32,Comedy,23
34,47.7598,71.28,33052.25,155.5,7.995,8.07,7.845,8.105,7.8,299587,N,282.112,Thriller,25
35,43.0344,71.28,31669.055,168.5,8.1,8.165,8.02,8.14,7.8,394967,Y,302.096,Comedy,25
36,52.2564,71.28,33863.28,170.4,7.965,8.17,8.065,8.28,6.8,377048,Y,222.16,Comedy,40
37,21.2834,66.92,32957.815,141.7,8.155,8.365,8.23,8.53,7.16,475977,Y,223.024,Thriller,43
38,21.9488,66.92,32446.755,134.9,8.305,8.36,8.19,8.39,8.16,474433,N,303.2,Comedy,39
39,21.6028,66.92,32496.75,115,8.01,8.125,7.94,8.055,7.16,482433,Y,203.36,Thriller,21
40,23.501,66.92,33141.13,103.7,7.925,8.17,7.98,8.23,7.16,498052,Y,203.872,Thriller,21
41,20.5526,60.9,36635.225,95.3,7.175,7.325,7.225,7.475,8.34,553070,Y,244.928,Thriller,49
42,20.6718,60.9,39018.32,89.3,7.185,7.345,7.235,7.43,8.34,567784,Y,305.584,Thriller,20
43,22.5488,68.82,37607.35,76.4,7.115,7.14,7,7.3,7.42,512492,N,264.256,Action,30
44,22.83,68.82,34268.795,80.1,7.035,7.27,7.06,7.19,7.42,526836,N,304.048,Thriller,52
45,23.1872,68.82,34502.105,80,6.98,7.17,7.08,7.33,8.42,473146,Y,303.952,Thriller,56
46,22.4538,68.82,33713.295,113.5,7.095,7.245,7.05,7.165,8.42,471960,N,243.392,Thriller,53
47,23.4284,68.82,31563.51,107.3,7.385,7.525,7.395,7.49,8.42,470466,N,223.088,Thriller,21
48,23.7672,68.82,32141.23,106.8,7.375,7.5,7.3,7.625,8.42,445250,Y,243.2,Drama,39
49,24.5854,68.82,33496.65,159,7.085,7.18,7.125,7.23,7.42,374797,Y,242.656,Thriller,44
50,25.0774,68.82,29991.445,168.8,7.01,7.16,7.02,7.07,8.42,264112,N,282.304,Comedy,34
51,24.3954,68.82,31119.11,135.5,6.945,7.05,6.85,6.98,7.42,422013,N,263.104,Action,45
52,21.7746,66.28,33124.465,119.2,6.46,6.725,6.5,6.685,7.64,442225,Y,223.152,Thriller,21
53,20.8674,66.28,33968.825,136.5,6.48,6.63,6.46,6.795,8.64,502413,Y,223.28,Drama,30
54,21.072,66.28,36168.605,94.6,6.49,6.62,6.44,6.815,8.64,504792,N,284,Thriller,56
55,20.9962,66.28,33318.89,94.9,6.555,6.74,6.565,6.51,8.64,496877,N,223.744,Thriller,41
56,20.272,63,32707.84,121.1,6.3,6.365,6.2,6.5,6.78,410055,Y,303.024,Comedy,55
57,20.2622,57.44,40268.195,95.4,5.55,5.795,5.605,5.655,8.42,512329,Y,265.664,Thriller,50
58,20.411,56.48,35457.565,109.2,5.34,5.535,5.285,5.465,8.54,539589,Y,303.952,Drama,22
