"id","School","Sex","Grade","Final"
1,"A","M",1,44.4
2,"A","M",2,47.7
3,"A","M",3,65.6
4,"A","F",1,50.7
5,"A","F",2,51.3
6,"A","F",3,67.2
7,"A","M",1,54.6
8,"A","M",2,37.3
9,"A","M",3,43.1
10,"A","F",1,45.5
11,"A","F",2,62.2
12,"A","F",3,53.6
13,"A","M",1,54
14,"A","M",2,51.1
15,"A","M",3,44.4
16,"A","F",1,67.9
17,"A","F",2,55
18,"A","F",3,30.3
19,"A","M",1,57
20,"A","M",2,45.3
21,"A","M",3,39.3
22,"A","F",1,47.8
23,"A","F",2,39.7
24,"A","F",3,42.7
25,"A","M",1,43.7
26,"A","M",2,33.1
27,"A","M",3,58.4
28,"A","F",1,51.5
29,"A","F",2,38.6
30,"A","F",3,62.5
31,"A","M",1,54.3
32,"A","M",2,47
33,"A","M",3,59
34,"A","F",1,58.8
35,"A","F",2,58.2
36,"A","F",3,56.9
37,"A","M",1,55.5
38,"A","M",2,49.4
39,"A","M",3,46.9
40,"A","F",1,46.2
41,"A","F",2,43.1
42,"A","F",3,47.9
43,"A","M",1,37.3
44,"A","M",2,71.7
45,"A","M",3,62.1
46,"A","F",1,38.8
47,"A","F",2,46
48,"A","F",3,45.3
49,"A","M",1,57.8
50,"A","M",2,49.2
51,"A","M",3,52.5
52,"A","F",1,49.7
53,"A","F",2,49.6
54,"A","F",3,63.7
55,"A","M",1,47.7
56,"A","M",2,65.2
57,"A","M",3,34.5
58,"A","F",1,55.8
59,"A","F",2,51.2
60,"A","F",3,52.2
61,"A","M",1,53.8
62,"A","M",2,45
63,"A","M",3,46.7
64,"A","F",1,39.8
65,"A","F",2,39.3
66,"A","F",3,53
67,"A","M",1,54.5
68,"A","M",2,50.5
69,"A","M",3,59.2
70,"A","F",1,70.5
71,"A","F",2,45.1
72,"A","F",3,26.9
73,"A","M",1,60.1
74,"A","M",2,42.9
75,"A","M",3,43.1
76,"A","F",1,60.3
77,"A","F",2,47.2
78,"A","F",3,37.8
79,"A","M",1,51.8
80,"A","M",2,48.6
81,"A","M",3,50.1
82,"A","F",1,53.9
83,"A","F",2,46.3
84,"A","F",3,56.4
85,"A","M",1,47.8
86,"A","M",2,53.3
87,"A","M",3,61
88,"A","F",1,54.4
89,"A","F",2,46.7
90,"A","F",3,61.5
91,"A","M",1,59.9
92,"A","M",2,55.5
93,"A","M",3,52.4
94,"A","F",1,43.7
95,"A","F",2,63.6
96,"A","F",3,44
97,"A","M",1,71.9
98,"A","M",2,65.3
99,"A","M",3,47.6
100,"A","F",1,39.7
101,"A","F",2,42.9
102,"A","F",3,52.6
103,"A","M",1,47.5
104,"A","M",2,46.5
105,"A","M",3,40.5
106,"A","F",1,49.5
107,"A","F",2,42.2
108,"A","F",3,33.3
109,"A","M",1,46.2
110,"A","M",2,59.2
111,"A","M",3,44.2
112,"A","F",1,56.1
113,"A","F",2,33.8
114,"A","F",3,49.4
115,"A","M",1,55.2
116,"A","M",2,53
117,"A","M",3,51.1
118,"A","F",1,43.6
119,"A","F",2,41.5
120,"A","F",3,39.8
121,"A","M",1,51.2
122,"A","M",2,40.5
123,"A","M",3,45.1
124,"A","F",1,47.4
125,"A","F",2,68.4
126,"A","F",3,43.5
127,"A","M",1,52.4
128,"A","M",2,50.8
129,"A","M",3,40.4
130,"A","F",1,49.3
131,"A","F",2,64.4
132,"A","F",3,54.5
133,"A","M",1,50.4
134,"A","M",2,45.8
135,"A","M",3,29.5
136,"A","F",1,61.3
137,"A","F",2,35.4
138,"A","F",3,57.4
139,"A","M",1,69.1
140,"A","M",2,35.6
141,"A","M",3,57
142,"A","F",1,47.4
143,"A","F",2,34.3
144,"A","F",3,34.9
145,"A","M",1,34
146,"A","M",2,44.7
147,"A","M",3,35.4
148,"A","F",1,56.9
149,"A","F",2,71
150,"A","F",3,37.1
151,"A","M",1,57.9
152,"A","M",2,57.7
153,"A","M",3,53.3
154,"A","F",1,39.9
155,"A","F",2,48.8
156,"A","F",3,47.2
157,"A","M",1,55.6
158,"A","M",2,46.3
159,"A","M",3,59.8
160,"A","F",1,46.3
161,"A","F",2,60.5
162,"A","F",3,39.5
163,"A","M",1,37.4
164,"A","M",2,82.4
165,"A","M",3,45.8
166,"A","F",1,53
167,"A","F",2,56.4
168,"A","F",3,45.2
169,"A","M",1,55.2
170,"A","M",2,53.7
171,"A","M",3,47.8
172,"A","F",1,50.7
173,"A","F",2,49.7
174,"A","F",3,71.3
175,"A","M",1,42.6
176,"A","M",2,39
177,"A","M",3,50.4
178,"A","F",1,53.1
179,"A","F",2,54.4
180,"A","F",3,45.4
181,"A","M",1,39.4
182,"A","M",2,62.6
183,"A","M",3,46.5
184,"A","F",1,41.3
185,"A","F",2,47.6
186,"A","F",3,48
187,"A","M",1,61.1
188,"A","M",2,50.8
189,"A","M",3,57.5
190,"A","F",1,45
191,"A","F",2,52.1
192,"A","F",3,46.8
193,"A","M",1,50.9
194,"A","M",2,41
195,"A","M",3,36.9
196,"A","F",1,70
197,"A","F",2,56
198,"A","F",3,37.5
199,"A","M",1,43.9
200,"A","M",2,38.1
201,"A","M",3,72
202,"A","F",1,63.1
203,"A","F",2,47.3
204,"A","F",3,55.4
205,"A","M",1,45.9
206,"A","M",2,45.2
207,"A","M",3,42.1
208,"A","F",1,44.1
209,"A","F",2,66.5
210,"A","F",3,49.5
211,"A","M",1,51.2
212,"A","M",2,52.4
213,"A","M",3,62.3
214,"A","F",1,44.8
215,"A","F",2,40.1
216,"A","F",3,66.8
217,"A","M",1,45.6
218,"A","M",2,42.8
219,"A","M",3,37.6
220,"A","F",1,37.2
221,"A","F",2,44.3
222,"A","F",3,56.2
