ID,Segmentation
458989,2
458994,3
459000,3
459003,2
459005,2
459008,3
459013,3
459014,4
459015,4
459016,4
459024,3
459026,4
459032,1
459033,2
459036,1
459039,3
459041,2
459045,1
459058,1
459061,1
459064,4
459074,3
459077,1
459080,1
459090,1
459091,3
459100,2
459106,2
459114,3
459116,3
459117,3
459119,3
459120,4
459121,3
459123,3
459130,1
459132,4
459136,3
459140,4
459143,2
459150,1
459160,3
459161,3
459162,1
459163,1
459167,2
459170,2
459171,3
459172,4
459175,3
459181,2
459182,3
459184,1
459185,1
459193,1
459194,1
459196,4
459208,3
459209,3
459210,3
459212,3
459213,3
459216,3
459220,1
459222,3
459223,3
459224,3
459227,1
459229,2
459236,2
459237,1
459244,2
459247,2
459263,4
459264,2
459266,4
459270,1
459284,3
459287,4
459288,2
459289,1
459290,3
459292,2
459296,3
459307,2
459310,4
459316,4
459318,4
459320,4
459322,4
459339,1
459344,3
459347,2
459349,3
459352,2
459353,3
459362,1
459363,1
459364,2
459375,1
459377,3
459383,1
459384,3
459385,3
459386,2
459391,1
459394,4
459397,3
459405,2
459407,1
459409,2
459410,3
459415,1
459418,3
459419,2
459420,2
459421,1
459423,4
459428,4
459432,1
459436,2
459439,3
459445,3
459447,2
459451,3
459459,1
459461,1
459466,3
459467,3
459480,1
459481,1
459482,1
459497,3
459503,3
459509,4
459512,2
459515,2
459535,3
459536,4
459538,1
459541,3
459549,4
459555,1
459558,4
459564,1
459566,2
459567,3
459571,3
459579,2
459583,1
459585,3
459587,1
459588,1
459591,3
459592,4
459594,1
459597,3
459603,1
459607,2
459617,4
459618,2
459625,2
459626,4
459632,2
459644,4
459658,3
459664,1
459665,1
459672,3
459673,1
459678,4
459686,2
459692,3
459701,2
459711,2
459715,4
459718,4
459725,1
459740,4
459742,1
459745,1
459747,3
459748,3
459756,2
459760,1
459767,4
459779,1
459780,1
459795,2
459801,4
459804,3
459806,2
459815,1
459822,1
459825,4
459832,1
459845,4
459851,2
459853,4
459856,2
459857,4
459861,1
459867,3
459869,4
459871,1
459886,1
459889,3
459897,2
459909,1
459910,2
459911,4
459914,4
459923,4
459925,4
459937,1
459943,1
459945,2
459946,3
459949,2
459953,2
459961,1
459962,2
459966,1
459968,1
459970,1
459973,2
459974,1
459975,2
459981,1
459986,2
459995,1
459996,1
459998,2
460004,2
460006,4
460014,4
460023,1
460040,2
460045,2
460046,2
460050,1
460051,1
460052,1
460058,2
460061,4
460066,4
460068,1
460073,1
460079,1
460081,2
460090,1
460093,2
460095,1
460101,4
460103,1
460105,2
460107,2
460108,3
460109,3
460112,3
460118,3
460119,4
460122,1
460124,1
460134,2
460135,4
460140,1
460141,2
460146,2
460147,3
460160,4
460162,4
460166,4
460167,3
460168,3
460171,3
460174,3
460175,3
460177,2
460179,2
460183,4
460185,4
460187,4
460189,4
460190,4
460196,4
460206,1
460212,4
460214,2
460223,1
460227,4
460242,4
460243,1
460248,4
460252,1
460263,1
460265,2
460270,4
460272,4
460275,2
460276,1
460281,4
460283,1
460284,4
460287,2
460289,2
460298,1
460306,4
460310,4
460315,4
460319,4
460323,1
460324,4
460327,2
460333,4
460336,2
460340,2
460341,4
460344,3
460348,1
460354,1
460356,4
460358,4
460361,2
460362,4
460365,2
460370,1
460371,1
460378,1
460379,1
460380,4
460381,1
460384,4
460387,1
460388,1
460389,4
460390,1
460392,1
460394,4
460397,1
460399,4
460401,1
460404,1
460405,1
460406,4
460408,1
460409,1
460415,1
460431,1
460437,1
460440,1
460443,1
460449,4
460450,2
460453,1
460459,4
460460,4
460477,4
460484,4
460485,4
460489,4
460495,4
460505,4
460507,4
460508,4
460518,3
460541,3
460545,1
460546,3
460549,2
460550,3
460551,3
460555,3
460561,3
460563,4
460571,4
460572,3
460574,1
460582,1
460583,4
460585,1
460586,4
460588,4
460597,4
460598,3
460605,1
460612,4
460621,3
460622,3
460626,1
460638,1
460645,3
460653,4
460656,1
460658,1
460661,4
460678,4
460687,3
460691,4
460702,2
460703,4
460706,4
460708,1
460716,2
460720,3
460722,1
460726,3
460727,2
460729,1
460733,4
460740,3
460743,3
460746,4
460763,2
460769,1
460780,1
460783,1
460785,4
460789,1
460794,1
460796,4
460802,3
460811,2
460813,1
460815,2
460822,2
460825,4
460828,1
460830,2
460831,4
460837,1
460840,1
460846,4
460847,1
460851,2
460857,1
460860,2
460861,4
460866,2
460872,1
460877,2
460878,2
460882,4
460888,4
460891,2
460897,4
460898,2
460901,4
460902,1
460905,1
460906,1
460907,1
460923,3
460924,4
460928,3
460934,4
460935,1
460945,4
460953,1
460961,4
460962,3
460963,1
460968,1
460976,4
460977,2
460979,4
460981,1
460984,2
460988,2
460989,4
460991,4
460993,3
460999,4
461000,2
461015,1
461016,4
461022,2
461024,1
461028,4
461029,4
461034,4
461038,2
461041,1
461043,4
461044,4
461049,2
461059,2
461060,3
461071,2
461078,4
461082,4
461085,1
461093,3
461099,1
461111,1
461114,3
461116,4
461119,4
461121,4
461124,4
461127,4
461128,4
461129,2
461145,1
461154,4
461162,4
461163,2
461168,1
461169,4
461177,2
461178,4
461179,4
461183,4
461187,4
461197,4
461211,1
461214,4
461215,2
461218,4
461220,4
461221,4
461225,4
461236,4
461237,4
461241,4
461242,4
461243,4
461248,4
461252,2
461256,4
461257,3
461258,3
461262,1
461263,2
461265,4
461269,4
461276,4
461277,1
461281,4
461286,4
461289,4
461297,3
461299,3
461303,4
461308,4
461309,4
461314,3
461319,3
461320,3
461322,3
461323,3
461324,3
461326,1
461335,3
461340,3
461346,3
461348,4
461350,4
461352,4
461356,4
461357,4
461363,2
461366,4
461370,4
461378,2
461383,3
461397,4
461402,4
461408,4
461423,1
461426,3
461428,2
461432,3
461437,2
461439,3
461441,3
461442,3
461454,2
461456,4
461457,4
461458,2
461462,4
461465,2
461466,1
461469,3
461476,3
461479,3
461480,3
461482,3
461494,1
461501,2
461503,1
461510,2
461514,2
461516,1
461518,3
461521,2
461522,2
461525,1
461526,4
461530,1
461534,2
461546,4
461548,1
461553,1
461556,3
461558,3
461564,3
461570,3
461574,3
461587,4
461593,3
461604,2
461612,3
461615,4
461617,3
461626,3
461630,3
461637,3
461644,4
461653,3
461655,2
461658,3
461659,3
461661,3
461663,4
461668,3
461671,4
461674,3
461676,1
461679,4
461681,4
461683,2
461685,4
461686,2
461690,1
461694,4
461695,3
461698,3
461701,2
461705,4
461708,2
461709,1
461711,1
461716,3
461720,2
461722,4
461724,3
461725,1
461727,3
461737,2
461744,3
461747,3
461749,4
461752,3
461756,2
461760,3
461769,1
461771,1
461775,2
461778,3
461780,3
461784,1
461788,2
461791,4
461792,4
461800,2
461801,4
461802,1
461804,1
461807,4
461815,2
461816,4
461821,4
461822,3
461824,4
461837,3
461845,3
461846,2
461848,4
461858,4
461859,3
461860,2
461862,1
461864,4
461872,2
461873,4
461874,3
461882,3
461892,4
461896,3
461898,3
461899,4
461901,3
461913,1
461921,2
461927,4
461929,1
461930,1
461936,2
461941,3
461943,4
461962,3
461963,2
461965,4
461967,3
461968,1
461978,4
461988,2
461993,4
461994,4
461996,3
461999,4
462007,3
462011,4
462013,2
462015,1
462016,3
462017,1
462027,1
462029,1
462033,1
462038,3
462043,4
462044,3
462048,4
462052,3
462058,1
462060,3
462064,3
462068,3
462075,1
462078,3
462080,2
462081,4
462083,4
462084,2
462085,4
462088,3
462090,1
462091,4
462102,1
462103,2
462109,4
462111,3
462114,4
462116,3
462118,1
462120,2
462128,3
462131,3
462141,1
462149,4
462151,2
462163,3
462168,2
462171,1
462172,3
462174,2
462179,3
462180,2
462186,4
462187,3
462188,2
462196,2
462197,1
462200,2
462202,1
462203,1
462204,4
462205,4
462209,4
462210,1
462211,4
462214,4
462216,1
462218,2
462220,4
462222,4
462231,4
462232,1
462240,2
462243,1
462246,2
462249,4
462256,2
462260,1
462274,3
462275,3
462278,3
462279,4
462280,4
462281,3
462284,2
462286,2
462290,1
462297,1
462300,3
462304,2
462306,1
462310,3
462323,3
462336,3
462339,1
462340,2
462342,3
462345,2
462346,4
462349,3
462356,1
462358,4
462365,1
462368,2
462370,2
462381,2
462382,3
462386,4
462389,1
462395,3
462397,3
462400,1
462401,4
462409,1
462411,1
462415,4
462420,4
462421,3
462423,2
462424,3
462428,3
462429,1
462445,4
462446,4
462447,4
462451,4
462454,4
462456,4
462457,4
462463,3
462472,1
462485,1
462488,4
462491,1
462492,2
462496,3
462498,3
462503,3
462508,4
462517,2
462518,2
462519,4
462521,4
462522,4
462525,3
462526,3
462529,1
462533,4
462538,2
462541,2
462542,3
462543,2
462545,4
462554,4
462561,3
462563,3
462577,4
462578,2
462580,1
462584,4
462587,2
462589,4
462595,4
462600,4
462609,4
462611,4
462613,4
462615,4
462617,4
462625,1
462626,4
462654,2
462668,1
462678,3
462683,1
462687,4
462696,2
462702,2
462704,3
462705,2
462716,4
462723,2
462727,1
462729,4
462731,2
462735,4
462736,1
462739,2
462743,4
462746,4
462747,4
462756,4
462761,4
462762,2
462767,4
462768,3
462776,3
462788,3
462804,4
462810,1
462814,4
462817,1
462819,3
462824,2
462826,4
462827,4
462834,4
462838,2
462841,4
462845,3
462849,3
462850,4
462853,4
462854,4
462858,4
462861,4
462866,2
462868,2
462869,4
462871,2
462872,1
462874,2
462887,1
462890,4
462891,4
462894,3
462900,3
462905,3
462914,1
462920,2
462923,4
462927,4
462944,2
462951,4
462956,2
462958,4
462963,3
462966,3
462968,2
462971,1
462976,3
462981,4
462982,4
462983,2
462984,3
462986,4
462998,2
463003,3
463020,4
463023,4
463028,4
463030,3
463034,4
463037,3
463039,1
463040,1
463051,1
463052,4
463069,1
463075,3
463080,4
463083,1
463085,1
463088,2
463089,3
463090,2
463091,4
463094,1
463100,4
463102,1
463104,1
463106,1
463108,2
463120,1
463133,3
463144,2
463145,2
463146,1
463148,3
463149,3
463150,4
463151,1
463154,1
463157,1
463158,1
463163,4
463164,2
463165,3
463166,1
463171,1
463173,1
463174,2
463181,3
463187,3
463195,4
463196,1
463199,2
463201,4
463203,4
463204,1
463209,3
463218,1
463219,1
463220,1
463224,2
463240,2
463242,4
463244,1
463245,2
463248,1
463251,4
463256,4
463258,3
463260,1
463265,3
463267,1
463269,1
463273,2
463277,1
463278,1
463280,3
463292,1
463308,1
463316,1
463323,4
463324,4
463330,4
463332,2
463334,3
463338,1
463340,4
463341,1
463348,2
463356,4
463360,2
463367,4
463368,3
463375,1
463376,3
463378,1
463379,4
463386,1
463391,2
463406,4
463409,2
463420,3
463423,2
463427,4
463428,4
463437,3
463438,2
463443,3
463447,2
463452,3
463462,1
463475,2
463477,4
463483,4
463491,1
463499,1
463500,2
463503,1
463508,1
463509,1
463512,4
463516,2
463527,1
463533,3
463537,4
463545,1
463548,4
463550,3
463553,1
463554,3
463557,4
463560,4
463561,1
463572,3
463577,3
463586,4
463588,4
463598,4
463603,4
463605,4
463606,4
463614,3
463616,2
463619,1
463620,4
463623,4
463624,3
463628,1
463632,1
463638,1
463639,3
463640,4
463644,4
463654,4
463655,2
463661,3
463664,1
463665,3
463669,4
463699,2
463703,2
463704,3
463707,2
463713,4
463716,4
463718,1
463722,3
463724,4
463726,4
463727,1
463728,1
463732,4
463734,2
463741,3
463745,3
463747,3
463748,4
463753,4
463756,2
463761,3
463764,3
463767,3
463768,1
463774,3
463776,3
463782,2
463784,1
463785,2
463790,1
463799,3
463800,4
463804,2
463807,3
463811,3
463814,4
463816,3
463818,2
463821,1
463827,2
463828,3
463830,4
463834,2
463835,4
463842,2
463847,3
463856,3
463857,2
463859,3
463865,3
463877,2
463880,2
463884,1
463891,1
463892,1
463904,1
463917,4
463923,4
463924,2
463926,4
463931,3
463932,3
463941,1
463943,1
463946,4
463948,2
463951,3
463955,1
463958,3
463961,1
463963,4
463966,1
463978,3
463980,3
463983,1
463986,1
463997,2
464000,3
464004,4
464007,3
464009,3
464010,4
464013,4
464019,4
464021,4
464023,4
464030,4
464031,4
464032,4
464033,4
464039,1
464042,2
464046,4
464048,2
464049,4
464053,1
464054,2
464059,2
464063,1
464066,4
464067,4
464068,2
464071,3
464072,3
464076,1
464084,4
464096,3
464099,2
464103,3
464110,3
464112,4
464115,4
464118,1
464121,2
464123,1
464127,4
464132,4
464137,3
464139,4
464144,3
464152,2
464167,3
464172,2
464173,3
464176,1
464179,3
464180,2
464182,3
464183,1
464185,3
464195,1
464200,4
464202,1
464204,3
464205,1
464206,1
464211,3
464212,3
464217,4
464223,3
464226,3
464231,3
464232,4
464246,3
464254,3
464255,3
464265,1
464270,1
464271,3
464274,3
464276,3
464283,1
464286,3
464289,4
464292,3
464297,1
464298,4
464308,2
464318,1
464320,1
464326,1
464332,3
464339,1
464344,2
464351,4
464364,2
464368,2
464370,3
464373,3
464378,2
464381,3
464382,3
464386,2
464387,2
464389,3
464396,2
464412,4
464424,4
464425,1
464432,4
464436,1
464437,2
464441,2
464451,3
464456,1
464468,3
464473,3
464474,2
464478,2
464481,3
464482,2
464483,3
464485,4
464487,4
464488,3
464494,3
464499,2
464501,4
464504,4
464506,4
464522,1
464526,3
464528,2
464536,1
464540,2
464544,2
464549,3
464552,3
464553,3
464555,4
464560,1
464561,1
464566,2
464569,4
464570,1
464572,4
464576,4
464577,2
464580,1
464586,1
464593,2
464594,2
464597,1
464601,4
464603,1
464606,3
464607,3
464608,3
464620,3
464621,2
464641,4
464652,1
464654,2
464664,2
464666,2
464670,2
464673,1
464674,2
464675,4
464677,4
464683,2
464684,1
464685,4
464688,1
464691,2
464692,4
464693,1
464695,4
464696,1
464697,3
464699,4
464701,1
464704,4
464711,2
464712,1
464726,1
464728,2
464732,2
464737,2
464739,2
464746,4
464755,3
464756,1
464758,2
464760,2
464765,2
464766,2
464772,1
464774,2
464780,1
464792,4
464799,4
464802,1
464804,1
464806,1
464812,2
464813,3
464817,1
464825,4
464827,2
464828,4
464831,4
464835,4
464845,1
464849,2
464851,3
464852,4
464854,1
464857,4
464864,1
464865,1
464868,1
464872,1
464873,2
464879,1
464884,1
464885,1
464886,2
464902,4
464910,3
464911,3
464919,1
464920,4
464921,2
464927,3
464932,4
464938,1
464939,1
464940,1
464944,1
464947,4
464957,4
464960,4
464961,1
464963,1
464972,1
464981,3
464987,3
464990,3
464991,3
464995,4
465001,1
465005,3
465012,3
465014,1
465022,3
465023,3
465026,4
465032,3
465035,3
465038,2
465039,1
465040,3
465045,2
465056,1
465069,3
465076,3
465079,3
465082,1
465087,4
465092,3
465093,2
465095,3
465099,2
465100,3
465101,3
465105,3
465111,2
465112,1
465113,2
465119,3
465120,4
465121,1
465122,3
465124,1
465128,3
465134,2
465136,3
465144,1
465147,4
465150,1
465153,3
465155,1
465160,3
465164,4
465171,3
465172,3
465175,4
465176,3
465181,4
465182,1
465186,3
465187,4
465188,3
465189,1
465194,4
465196,4
465197,3
465201,2
465202,4
465203,4
465204,4
465213,2
465214,4
465216,3
465226,1
465228,3
465231,3
465236,3
465242,4
465249,4
465254,4
465261,4
465264,4
465267,4
465274,4
465285,4
465288,4
465289,1
465290,2
465294,1
465296,1
465303,3
465306,2
465310,4
465319,4
465333,3
465335,2
465340,4
465342,3
465344,3
465351,3
465352,3
465354,3
465357,3
465358,3
465359,3
465364,1
465366,2
465371,1
465372,1
465383,4
465384,2
465391,3
465393,3
465395,2
465399,1
465410,2
465419,1
465423,3
465428,1
465435,1
465437,3
465440,1
465441,1
465445,4
465458,3
465461,3
465471,1
465473,2
465477,2
465479,4
465482,1
465483,3
465484,2
465488,4
465489,1
465492,1
465505,3
465507,1
465508,4
465510,1
465518,3
465520,3
465521,3
465522,2
465529,4
465539,3
465541,3
465543,1
465550,4
465554,1
465558,4
465568,2
465569,2
465571,1
465577,4
465584,3
465586,2
465594,4
465598,4
465600,1
465602,1
465605,2
465611,3
465612,3
465616,3
465621,1
465625,1
465627,4
465629,3
465635,1
465640,3
465644,3
465645,3
465649,4
465651,4
465653,3
465655,2
465658,3
465663,3
465667,4
465668,4
465669,1
465670,4
465675,1
465680,4
465685,4
465689,4
465697,3
465703,4
465704,3
465705,3
465706,3
465721,1
465725,1
465727,4
465733,1
465734,1
465736,3
465737,1
465740,3
465742,3
465751,3
465753,3
465766,1
465768,1
465769,4
465772,2
465775,4
465776,1
465777,1
465784,4
465788,4
465793,4
465797,3
465804,1
465809,2
465811,4
465813,4
465818,1
465823,1
465826,4
465828,4
465829,1
465831,2
465841,1
465848,4
465849,4
465851,1
465857,1
465863,4
465865,4
465866,1
465867,2
465873,1
465875,1
465884,4
465893,2
465894,4
465916,2
465923,4
465925,4
465927,4
465930,1
465931,1
465935,1
465937,4
465941,4
465948,2
465953,2
465957,4
465960,4
465961,1
465963,2
465965,4
465972,1
465974,2
465975,1
465976,1
465979,2
465982,2
465996,4
465997,4
466001,1
466007,2
466017,2
466019,3
466020,1
466024,1
466042,1
466043,2
466046,1
466071,2
466079,1
466082,1
466083,4
466084,1
466088,2
466092,3
466099,2
466103,3
466109,3
466111,3
466114,3
466115,1
466118,1
466124,2
466128,3
466130,4
466132,4
466136,4
466138,3
466140,1
466141,2
466142,1
466146,3
466148,3
466149,4
466153,3
466154,3
466156,3
466162,2
466166,2
466172,3
466178,3
466180,2
466185,3
466200,2
466201,3
466206,3
466207,3
466208,3
466210,3
466213,4
466223,2
466225,4
466226,3
466233,2
466235,3
466236,2
466238,4
466246,4
466253,4
466257,4
466268,3
466271,1
466276,4
466285,4
466286,3
466287,3
466289,4
466292,2
466297,4
466300,3
466301,3
466306,4
466313,2
466315,2
466317,2
466318,2
466320,2
466321,1
466324,1
466326,4
466335,2
466337,1
466341,3
466347,2
466352,2
466355,3
466367,2
466372,3
466373,2
466376,2
466380,1
466381,3
466382,2
466387,2
466389,1
466393,1
466395,1
466397,4
466400,2
466401,1
466402,2
466404,1
466406,1
466408,1
466411,2
466414,2
466418,1
466419,2
466422,4
466427,4
466429,1
466443,2
466450,4
466455,1
466456,1
466463,2
466464,2
466467,2
466468,1
466474,1
466478,2
466486,1
466488,2
466490,2
466493,1
466500,2
466501,2
466502,4
466516,4
466526,4
466527,4
466533,1
466535,2
466536,4
466538,2
466541,1
466543,1
466545,4
466552,1
466553,4
466556,4
466562,4
466564,4
466565,2
466576,4
466586,4
466588,4
466596,3
466603,1
466606,2
466613,4
466631,3
466634,4
466635,3
466650,4
466652,3
466655,3
466656,3
466658,4
466665,3
466666,4
466686,4
466687,4
466688,4
466689,1
466696,3
466704,3
466705,3
466707,2
466713,3
466720,2
466721,1
466725,1
466731,2
466732,2
466746,3
466752,4
466753,3
466754,3
466760,3
466765,3
466769,1
466775,3
466776,2
466777,3
466778,1
466788,1
466790,1
466791,4
466792,1
466799,4
466808,1
466810,4
466814,4
466815,4
466816,2
466818,1
466826,1
466832,3
466833,2
466846,4
466863,4
466867,4
466874,2
466884,1
466886,4
466891,1
466905,2
466906,2
466908,1
466909,2
466910,1
466918,3
466920,4
466923,4
466927,4
466936,3
466938,1
466939,2
466951,3
466954,3
466955,1
466956,2
466961,3
466966,3
466967,2
466970,1
466971,4
466975,3
466990,2
466996,1
466999,4
467000,1
467008,3
467009,4
467022,4
467023,1
467025,4
467044,4
467046,1
467050,4
467053,4
467058,2
467060,4
467063,2
467073,1
467079,2
467084,1
467085,1
467088,2
467092,4
467093,3
467098,4
467099,1
467107,2
467111,2
467112,2
467114,2
467116,2
467119,2
467125,2
467132,2
467136,2
467137,2
467138,4
467139,1
467143,3
467144,1
467146,4
467147,1
467157,2
467159,2
467168,3
467180,4
467183,2
467185,4
467189,3
467193,1
467202,1
467212,4
467216,4
467218,2
467223,2
467227,1
467230,4
467232,1
467233,2
467235,2
467238,4
467239,4
467241,4
467242,4
467247,4
467256,3
467260,4
467281,2
467283,3
467300,3
467301,2
467303,3
467309,2
467311,2
467312,3
467313,2
467314,3
467317,2
467322,3
467325,2
467329,3
467338,4
467344,2
467345,2
467346,3
467352,2
467355,4
467358,3
467359,3
467365,1
467367,2
467369,2
467375,1
467378,3
467393,3
467398,1
467399,4
467403,2
467410,3
467415,4
467419,3
467421,3
467422,3
467423,2
467434,2
467437,3
467438,4
467445,1
467449,3
467451,2
467455,3
467456,2
467457,4
467463,3
467472,2
467474,4
467479,2
467481,3
467482,2
467487,2
467492,2
467500,3
467503,3
467505,1
467510,2
467532,3
467533,4
467540,3
467542,4
467559,2
467565,2
467576,3
467579,4
467588,3
467589,4
467592,1
467595,4
467596,1
467604,4
467608,4
467609,1
467610,1
467614,3
467620,4
467621,1
467629,2
467635,2
467641,3
467643,1
467657,4
467658,4
467659,3
467664,2
467666,2
467667,4
467669,1
467673,2
467678,4
467683,4
467684,4
467685,4
467693,2
467694,3
467699,1
467707,1
467710,3
467715,2
467721,4
467723,4
467726,2
467727,1
467728,2
467729,2
467733,2
467734,1
467735,4
467737,2
467739,3
467740,4
467741,4
467749,4
467763,2
467767,4
467768,3
467769,2
467772,4
467779,3
467789,4
467802,3
467803,2
467806,3
467808,3
467812,2
467813,1
467815,3
467825,3
467828,3
467838,3
467848,1
467849,1
467852,1
467856,3
467860,2
467864,3
467865,2
467868,3
467876,3
467880,3
467882,2
467883,3
467888,4
467891,4
467892,4
467894,3
467895,4
467898,3
467901,4
467904,1
467905,2
467911,4
467913,1
467915,4
467917,4
467927,1
467929,3
467930,3
467932,4
467933,4
467934,1
467938,1
467940,1
467946,2
467948,4
467949,4
467950,1
467954,4
467958,1
467961,2
467968,4
