epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.142,1.20423,2.17125,1.09627,0.77647,0.45212,0.71428,0.42132,1.19236,2.55624,1.27312,0.000650794,0.000650794,0.000650794
2,208.052,1.191,1.69075,1.11573,0.71386,0.57024,0.67807,0.40777,1.15557,2.44374,1.2387,0.00125225,0.00125225,0.00125225
3,309.682,1.21682,1.65843,1.13525,0.56102,0.59235,0.62381,0.37796,1.24703,2.41191,1.3078,0.0017877,0.0017877,0.0017877
4,402.352,1.16029,1.56566,1.11255,0.70453,0.74286,0.76798,0.46772,1.19521,2.59725,1.29658,0.001703,0.001703,0.001703
5,495.78,1.2001,1.45567,1.12304,0.78204,0.86568,0.8611,0.56226,1.10018,2.39933,1.22972,0.001604,0.001604,0.001604
6,592.582,1.12634,1.35801,1.10107,0.78688,0.8205,0.84337,0.54125,1.15168,1.99514,1.23089,0.001505,0.001505,0.001505
7,688.899,1.11773,1.26197,1.13093,0.84007,0.85714,0.89997,0.63667,0.9692,1.98361,1.14307,0.001406,0.001406,0.001406
8,797.463,1.03522,1.22677,1.09777,0.80985,0.89234,0.88806,0.60978,1.10362,2.06057,1.241,0.001307,0.001307,0.001307
9,903.28,1.09257,1.31251,1.11136,0.8644,0.93651,0.93605,0.67608,0.95304,1.51757,1.1294,0.001208,0.001208,0.001208
10,995.625,1.092,1.27134,1.10634,0.76409,0.92698,0.86397,0.56381,1.14488,1.80159,1.20684,0.001109,0.001109,0.001109
11,1093.72,1.01121,1.32949,1.07699,0.87454,0.90729,0.93617,0.67162,1.02547,1.49988,1.13509,0.00101,0.00101,0.00101
12,1183.68,0.98064,1.24553,1.09592,0.93798,0.9619,0.94666,0.72637,0.88566,1.37598,1.08421,0.000911,0.000911,0.000911
13,1289.16,0.89484,1.18954,1.06279,0.90514,0.93906,0.93828,0.70939,0.89238,1.35336,1.07378,0.000812,0.000812,0.000812
14,1379.47,0.87503,1.12998,1.04563,0.92454,0.97233,0.95434,0.74137,0.82681,1.28072,1.04749,0.000713,0.000713,0.000713
15,1476.47,0.84237,1.09348,1.05186,0.94612,0.94286,0.9437,0.74641,0.80771,1.17009,1.04882,0.000614,0.000614,0.000614
16,1567.51,0.80613,1.04495,1.01512,0.93253,0.96536,0.94523,0.74016,0.81053,1.12511,1.02452,0.000515,0.000515,0.000515
17,1673.34,0.84185,1.0155,1.01896,0.94278,0.96508,0.94967,0.75796,0.76717,1.06663,1.00209,0.000416,0.000416,0.000416
18,1768.08,0.76906,0.96906,1.00896,0.93791,0.96508,0.95714,0.77975,0.70827,1.02192,0.99659,0.000317,0.000317,0.000317
19,1863.98,0.7526,0.94562,1.03291,0.93533,0.96417,0.96029,0.78692,0.69172,1.00344,0.98789,0.000218,0.000218,0.000218
20,1957.93,0.73174,0.91503,0.97783,0.93682,0.96825,0.96148,0.79684,0.68592,0.99903,0.97595,0.000119,0.000119,0.000119
