epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.944,0.96611,2.35294,1.18299,0.92497,0.52948,0.827,0.64453,0.73478,1.9772,1.03144,0.000470379,0.000470379,0.000470379
2,428.236,0.90454,1.36214,1.09917,0.84173,0.90607,0.91835,0.70923,0.75884,1.54546,1.05765,0.00089985,0.00089985,0.00089985
3,615.948,0.87151,1.2839,1.08668,0.86466,0.94176,0.9694,0.77987,0.69299,1.82308,1.02045,0.00128216,0.00128216,0.00128216
4,811.591,0.81448,1.12671,1.0564,0.9813,0.96875,0.98178,0.80752,0.67736,1.05799,1.00034,0.00121679,0.00121679,0.00121679
5,1006.09,0.80315,1.07325,1.04683,0.98011,0.98287,0.98786,0.82369,0.6268,0.9991,0.97233,0.00114606,0.00114606,0.00114606
6,1181.9,0.8118,0.98308,1.05792,0.98416,0.99157,0.98587,0.82933,0.62283,0.93292,0.95152,0.00107532,0.00107532,0.00107532
7,1379.27,0.74956,0.89231,1.01717,0.97898,0.99405,0.99039,0.84316,0.58551,0.84803,0.94688,0.00100459,0.00100459,0.00100459
8,1577.3,0.74123,0.87007,1.01851,0.99039,0.99024,0.98869,0.83773,0.60196,0.8226,0.95399,0.000933851,0.000933851,0.000933851
9,1781.65,0.72313,0.83565,1.00242,0.97864,0.98133,0.98707,0.84056,0.5931,0.78181,0.95953,0.000863116,0.000863116,0.000863116
10,1982.12,0.74198,0.82588,1.03823,0.98421,0.98506,0.98802,0.85627,0.54934,0.7294,0.91789,0.00079238,0.00079238,0.00079238
11,2175.82,0.59598,0.76969,0.98119,0.98802,0.99247,0.98892,0.85291,0.54433,0.69794,0.91857,0.000721645,0.000721645,0.000721645
12,2390.23,0.57181,0.69675,0.97126,0.99191,0.99405,0.9897,0.86633,0.53044,0.65316,0.91944,0.000650909,0.000650909,0.000650909
13,2578.48,0.5545,0.66139,0.95368,0.98331,0.98756,0.99109,0.8652,0.52504,0.62034,0.91468,0.000580174,0.000580174,0.000580174
14,2774.3,0.57723,0.64439,0.97356,0.99355,0.99405,0.99046,0.86823,0.50704,0.5948,0.90141,0.000509438,0.000509438,0.000509438
15,2987.69,0.53062,0.61194,0.9489,0.9922,0.99405,0.99072,0.87504,0.49117,0.55359,0.88926,0.000438703,0.000438703,0.000438703
16,3194.35,0.54941,0.60193,0.94809,0.99194,0.99405,0.99146,0.8833,0.47087,0.54429,0.87263,0.000367967,0.000367967,0.000367967
17,3391.35,0.51354,0.55913,0.92495,0.99284,0.99405,0.99143,0.88921,0.4612,0.52617,0.86813,0.000297232,0.000297232,0.000297232
18,3635.09,0.49983,0.55188,0.93229,0.99574,0.99405,0.99141,0.89133,0.44401,0.50802,0.86676,0.000226497,0.000226497,0.000226497
19,3862.39,0.48454,0.53118,0.91972,0.9957,0.99405,0.99122,0.89506,0.44541,0.50279,0.86166,0.000155761,0.000155761,0.000155761
20,4089.15,0.46464,0.51964,0.90706,0.99498,0.99405,0.991,0.90094,0.42846,0.48846,0.85864,8.50255e-05,8.50255e-05,8.50255e-05
